Small Molecule HMS LINCS ID	Small Molecule Name	Protein HMS LINCS ID	Protein Name	Effective Concentration	Key References	Is Nominal
10231-101	PF-3758309	201140	PAK4	Kd: 4.5 nM	Proc Natl Acad Sci U S A. 2010,107(20):9446-51; WO 2006072831 A1.	1
10232-101	BEZ235	200537	mTOR	p110alpha (4 nM), p110gamma (5 nM), p110delta (7 nM), p110beta (75 nM)	Mol Cancer Ther, 2008, 7(7), 1851-1863; PLoS One, 2011, 6(9), e25132.	1
10233-101	BYL719	201103	PIK3CA		2012, AACR 103rd Annual Meeting. Abst CT-01.	1
10234-101	GDC-0980	200537	mTOR	Ki:14nM	Mol Cancer Ther, Dec. 2009, Vol 8, Issue 12, Suppl. 1; J. Med. Chem., 2011, 54 (21), pp 7579–7587	1
10235-101	Everolimus	200537	mTOR	1.6-2.4 nM	Transplant Proc, 1998, 30(5), 2192-2194.	1
10236-101	17-AAG	200594	HS90A	5 nM	Nature. 2003 Sep 25;425(6956):407-10.	1
10237-101	5-DFUR	201156	TYPH		Eur J Cancer. 2002 Dec;38(18):2375-81.	1
10238-101	5-FU	201157	TYSY		Nat Rev Cancer. 2003 May;3(5):330-8.	1
10239-101	AG1024	200519	IGF1R	7 uM	Endocrinology. 1997 Apr;138(4):1427-33.	1
10240-101	AS-252424	201106	PIK3CG	30 nM	J Med Chem. 2006 Jun 29;49(13):3857-71.	1
10241-101	Bortezomib	201145	PSB5	0.6 nM	Cancer Res. 1999 Jun 1;59(11):2615-22.	1
10243-101	CGC-11047	201116	DCOR		Cancer Chemother Pharmacol. 2008 Dec;63(1):45-53.	1
10244-999	CGC-11144	201128	KDM1A	0.5 uM	Eur J Med Chem. 2012 Oct;56:179-94.	1
10246-101	CPT-11	201154	TOP1		Int J Cancer. 2004 Jul 20;110(6):921-7.	1
10247-101	Docetaxel	201152	TBA1A	30 nM	Mol Biol Cell. 1999 Apr;10(4):947-59.	1
10248-101	Doxorubicin	201155	TOP2A		Biochemistry. 1990 Mar 13;29(10):2538-49.	1
10249-101	Epirubicin	201155	TOP2A		Anticancer Res. 1986 Sep-Oct;6(5):935-40.	1
10250-101	Etoposide	201155	TOP2A		Eur J Cancer. 1998 Sep;34(10):1514-21.	1
10251-112	Fascaplysin	200576	CDK4	0.35 uM	Biochem Biophys Res Commun. 2000 Sep 7;275(3):877-84.	1
10252-101	Gemcitabine	201146	RIR1		Chemistry. 2007;13(30):8507-15.	1
10253-999	Glycyl-H-1152	200620	ROCK2	11.8 nM	Biochim Biophys Acta. 2005 Dec 30;1754(1-2):245-52.	1
10255-101	GSK1838705	200519	IGF1R	2 nM	Mol Cancer Ther. 2009 Oct;8(10):2811-20	1
10257-101	GSK923295	201114	CENPE	3.2 nM	Proc Natl Acad Sci U S A. 2010 Mar 30;107(13):5839-44.	1
10258-110	Ibandronate	201124	FDFT		Bioorg Med Chem. 2010 Apr 1;18(7):2428-38.	1
10259-101	ICRF-193	201155	TOP2A	13.9 uM	Mol Pharmacol. 2001 Mar;59(3):453-61.	1
10260-101	Ispinesib	201132	KIF11	2.5 nM	J Med Chem. 2012 Feb 23;55(4):1511-25.	1
10261-101	Ixabepilone	201152	TBA1A		Am J Health Syst Pharm. 2008 Nov 1;65(21):2017-26.	1
10262-101	L-779450	200494	BRAF	10 nM	Bioorg Med Chem Lett. 2006 Jan 15;16(2):378-81.	1
10263-101	LBH589	201125	HDAC1	20 nM	Blood. 2008 May 15;111(10):5093-100.	1
10264-101	Methotrexate	201118	DYR	9.5 nM	Proc Natl Acad Sci U S A. 2002 Oct 15;99(21):13481-6. Epub 2002 Oct 1.	1
10265-101	MLN4924	201158	ULA1	4.7 nM	Nature. 2009 Apr 9;458(7239):732-6. d	1
10266-101	NSC 663284	201139	MPIP3	89 nM	J Med Chem. 2001 Nov 22;44(24):4042-9.	1
10267-101	NU6102	200575	CDK2	5.4 nM	J Med Chem. 2004 Jul 15;47(15):3710-22.	1
10268-101	Nutlin 3a	200529	MDM2	90 nM	Science. 2004 Feb 6;303(5659):844-8.	1
10270-101	Oxamflatin	201125	HDAC1		Oncogene. 1999 Apr 15;18(15):2461-70.	1
10271-101	PD 98059	200530	MP2K1	10 uM	Proc Natl Acad Sci U S A. 1995 Aug 15;92(17):7686-9.	1
10272-101	Pemetrexed	201157	TYSY	1.3 nM	Cancer Res. 1997 Mar 15;57(6):1116-23.	1
10273-101	Purvalanol A	200575	CDK2	35 nM	Mol Cell Biochem. 2002 Aug;237(1-2):137-53.	1
10274-101	SB-3CT	201138	MMP2		J Biol Chem. 2001 May 18;276(20):17125-31.	1
10275-101	(Z)-4-Hydroxytamoxifen	201123	ESR1	4 nM	Mol Pharmacol. 1984 Sep;26(2):272-8.	1
10276-101	TCS 2312	200499	CHK1	60 nM	J Med Chem. 2007 Nov 1;50(22):5253-6.	1
10277-101	Temsirolimus	200537	mTOR	1.76 uM	Cancer Res. 2008 Apr 15;68(8):2934-43.	1
10278-101	Topotecan	201154	TOP1	33 nM	J Natl Cancer Inst. 1994 Jun 1;86(11):836-42.	1
10279-101	Trichostatin A	201125	HDAC1	3 nM	Clin Cancer Res. 2001 Apr;7(4):971-6.	1
10280-101	Triciribine	200482	AKT1	130 nM	Neuro Oncol. 2011 Jun;13(6):610-21.	1
10281-101	Vinorelbine	200630	TUBB1		Ann Oncol. 2001 Nov;12(11):1643-9.	1
10282-101	Vorinostat	201125	HDAC1	13 nM	Nat Chem Biol. 2010 Mar;6(3):238-243.	1
10283-101	XRP44X	201121	ELK3	10 nM	Cancer Res. 2008 Mar 1;68(5):1275-83.	1
10284-101	Dabrafenib	200494	BRAF	3.2 nM	Mol Cancer Ther 2009;8(12 Suppl):B88.	1
10285-101	PHA-767491	201113	CDC7	10 nM	Nat Chem Biol, 2008, 4(6), 357-365.	1
10286-102	BS-181	200579	CDK7	21.0	Cancer Res, 2009, 69(15), 6208-6215.	1
10287-101	Dinaciclib	200575	CDK2	1 nM	Mol Cancer Ther. 2010, 9(8), 2344-2453.	1
10288-101	SGI-1776	201143	PIM1	7 nM	Blood, 2009, 114(19), 4150-7; Blood, 2011, 118(3), 693-702.	1
10289-101	AZD4547	200514	FGFR1	0.2 nM	Cancer Res, 2012, 72(8), 2045-2056.	1
10300-101	Azacitidine	201117	DNMT1		Oncology 1974, 30 (5): 405–22	1
10301-101	Decitabine	201117	DNMT1		Oncology 1974, 30 (5): 405–23	1
10302-101	RG-108	201117	DNMT1		Cancer Res, 2005, 65(14), 6305-6311.	1
10303-101	Iniparib	201141	PARP1		Biochem Pharmacol, 1995, 50(5), 705-714.	1
10304-105	Rucaparib	201141	PARP1		Mol Cancer Ther, 2007, 6(3), 945-956.	1
10305-101	JW55	201153	TNKS1		Cancer Res. 2012, 72, p2822.	1
10306-101	C646	201122	EP300		Chem. Biol. 17, 471–482 (2010).	1
10307-101	Garcinol	201122	EP300		J. Biol. Chem. 2004,  279, 33716–33726	1
10308-101	Anacardic acid	201122	EP300		J.Biol.Chem. 2003, 278, p19134.	1
10309-101	CTB	201122	EP300		J. Biol. Chem. 2003, 278: 19134-19140.	1
10310-101	Belinostat	201125	HDAC1		Mol Cancer Ther, 2003, 2(8), 721-728.	1
10311-101	Entinostat	201125	HDAC1		Cancer Res. 63, 3637 (2003); PNAS, 103, 5, 1587-1592, (2006).	1
10312-101	Mocetinostat	201125	HDAC1		Mol Cancer Ther. 2008, 7(4), 759-768.	1
10313-101	Pracinostat	201125	HDAC1		Mol Cancer Ther, 2010, 9(3), 642-652; JMC, 2011, 54, 4694-4720.	1
10314-101	MC1568	201126	HDAC4		J Med Chem, 2005, 48(9), 3344-3353.	1
10315-101	Rocilinostat	201127	HDAC6		Blood. 2012;119(11):2579-89.	1
10316-101	Selisistat	201150	SIR1		Mol Cell Biol, 2006, 26(1), 28-38.	1
10317-101	AGK2	201151	SIR2		Science. 2002, 295: 865-868. Science. 2007, 317: 516-519.	1
10318-101	Resveratrol	201142	PGH1	15 uM		1
10319-101	BIX-01294	201120	EHMT2		Mol. Cell 25, 473–481 (2007).	1
10320-101	UNC0638	201120	EHMT2		Nature Chem. Biol. 7, 566–574 (2011).	1
10321-110	GSK-J1	201131	KDM6B		Nature, 2012, 488, pp404–408	1
10322-110	GSK-J2	201131	KDM6B		Nature, 2012, 488, pp404–408	1
10323-102	GSK-J4	201131	KDM6B		Nature, 2012, 488, pp404–408	1
10324-101	Daminozide	201129	KDM2A		J.Med.Chem. 2012,  55, P6639	1
10325-101	Methylstat	201130	KDM4A		J Am Chem Soc. 2011;133(24):9451-6.	1
10326-102	Tranylcypromine	201128	KDM1A		Curr. Med. Chem, 2004, 11, p1983	1
10327-101	PFI-1	201112	BRD4	220 nM	J. Med. Chem., 2012, 55 (22), pp 9831–9837	1
10328-101	(+)-JQ1	201111	BRD2		Nature, 2010, 468, pp.1067-73	1
10329-101	(-)-JQ1	201111	BRD2		Nature, 2010, 468, pp.1067-74	1
10330-101	I-BET	201111	BRD2		Nature. 2010, 468(7327):1119-23	1
10331-101	I-BET151	201112	BRD4		Nature, 2011, 478, pp.529-533	1
10332-101	Ischemin	200543	P53	5 uM	Chem Biol. 2011, 18(4), pp531-41	1
10333-101	UNC669	201134	LMBL1		J. Med. Chem. 2011, 54, 2504–2511	1
10334-101	UNC1215	201135	LMBL3	40 nM	Nat Chem Biol. 2013 Mar;9(3):184-91.	1
10335-101	IOX2	201119	EGLN1	21 nM	J.Comb.Chem. 2010, 12, pp676.	1
10336-101	Epigallocatechin gallate	201144	PP1A	0.4 uM	FEBS J. 2013 Jan;280(2):612-26.	1
10337-102	OTSSP167	201137	MELK	0.41 nM	Oncotarget. 2012 Dec;3(12):1629-40.	1
10338-101	GDC-0068	200482	AKT1	5 nM	Cancer Res, 2012, 72(8 Supplement), 966.	1
10339-101	CX-5461	201148	RPA1		Cancer Res, 2011, 71(4), 1418-1430; ACS Med. Chem. Lett., 2012, 3 (7), pp 602-606	1
10340-101	HG-9-91-01	201149	SIK1		Proc Natl Acad Sci U S A. 2012 Oct 16;109(42):16986-91	1
10341-101	HG-14-8-02	200507	EGFR		WO 2013014448 A1 20130131	1
10342-101	HG-14-10-04	200485	ALK		US 20120028924	1
10343-101	Baicalein	201115	CP2C9		Drug Metab Dispos. 2009 Mar;37(3):629-34.	1
10344-101	Olomoucine II	200498	CDK1	20 nM	Bioorg Med Chem Lett. 2002 Nov 18;12(22):3283-6.	1
10345-111	PP242	200537	mTOR	8 nM	Nat Chem Biol. 2008 Nov;4(11):691-9.	1
10346-110	Valproic acid	201115	CP2C9	39 uM	ACS Med Chem Lett. 2010 Oct 8;2(1):39-42.	1
10348-101	Z-Leu-Leu-Norvalinal	201145	PSB5	Ki:21 nM	J Biol Chem. 1998 May 1;273(18):11183-8.	1
10349-106	NVP-BGT226	200537	mTOR		Clin Cancer Res. 2011 Nov 15;17(22):7116-26.	1
10357-101	XL765	200537	mTOR	157 nM	Oncogene. 2008, 27(41):5511-26	1
