source	CELLLINES_Basal	CELLLINES_Basal_Rank	CELLLINES_Claudin-low	CELLLINES_Claudin-low_Rank	CELLLINES_ERBB2AMP	CELLLINES_ERBB2AMP_Rank	CELLLINES_Luminal	CELLLINES_Luminal_Rank	TCGA_Basal	TCGA_Basal_Rank	TCGA_ERBB2AMP	TCGA_ERBB2AMP_Rank	TCGA_Luminal	TCGA_Luminal_Rank	BOTH_Basal	BOTH_Luminal	BOTH_ERBB2
CASP2_0-0	0.493865351	908	0.634862348	665	-0.099734157	1189	0.858076681	625	3.519858484	274	0.981515742	761	-3.950023988	2328	591	1476.5	975
PPP3CB	0.08007384	1181	1.243354396	332	-0.216046351	1419	1.573283131	255	-4.067999943	2357	1.383750767	533	-0.432175953	1213	1769	734	976
NET1	0.529394145	876	-1.825735569	2322	0.066544495	880	0.466278921	956	3.199180725	344	0.468111519	1073	-1.844585372	1762	610	1359	976.5
LPA/LPA2/NHERF2 (complex);SLC9A3R2	-5.590887241	2493	-2.638091428	2443	-0.173380364	1332	1.693837865	209	-6.675586056	2473	1.209300097	623	5.911272016	18	2483	113.5	977.5
DUSP8;DUSP10;CSRP2;ATF2;ATF2/ATF2 (complex);PDGF/PDGFRA (complex);PDGFRA;macrophage chemotaxis (abstract);NPPB;NPPA	0.14125234	1137	0.660897447	645	-0.099261203	1186	-1.909836908	2363	0.521730627	1250	0.964790801	769	-0.295789198	1154	1193.5	1758.5	977.5
GLI2;GLI2R	1.466687396	353	0.474113088	798	-0.008717728	1016	0.189709569	1192	0.406902604	1288	0.670231038	943	-1.541785579	1651	820.5	1421.5	979.5
IRAK3	-1.414858628	2017	-2.208874892	2389	0.092001579	839	1.932329019	158	-1.302773786	1850	0.400749961	1124	1.241772419	611	1933.5	384.5	981.5
SMAD2/SMAD2/SMAD4 (complex);SMAD2/SMAD2/SMAD4/SnoN/SIN3/HDAC complex/NCoR1 (complex)	0.396293364	969	0.7350409	594	0.08699476	849	-1.498644621	2262	1.265444983	957	0.417402849	1114	-0.4621115	1227	963	1744.5	981.5
UniProt:Q14393 GAS6_subunit_31_38_31-38	-1.124489059	1886	-0.89182819	1955	0.065074043	885	-1.345449741	2204	2.707412905	469	0.456772722	1080	-2.15606119	1865	1177.5	2034.5	982.5
IL-22/IL-22/IL-10R2C/TYK2 (complex);IL-22/IL-22/IL-22R1/JAK1 (complex);IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/JAK1/JAK1/IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/IL-22/IL-22 (complex);IL22	-3.759077499	2435	-1.281394851	2152	-0.087399825	1162	2.623505616	53	-2.543937764	2156	0.889887421	804	2.637633801	271	2295.5	162	983
CCR6	-1.948626264	2197	0.228621398	991	0.391511512	405	-0.357321594	1642	1.494757208	868	-0.266619345	1561	-0.571377906	1275	1532.5	1458.5	983
ADCY7	3.087174374	40	1.149602082	358	-0.270466528	1508	-0.476851058	1741	2.579343784	501	1.537006247	462	-4.35243144	2397	270.5	2069	985
TAF1A	0.534776324	871	0.078646422	1144	-0.221264241	1431	-2.026824718	2379	3.072278186	376	1.368527282	540	-0.993896025	1433	623.5	1906	985.5
GNA12;S1P/S1P5/G12 (complex)	-0.046242764	1272	1.633183689	188	1.463761654	17	1.605280114	237	-1.417436872	1891	-0.941325075	1955	-0.83019477	1363	1581.5	800	986
VIP;VIP receptor:VIP (complex)	-0.944275713	1787	0.066490042	1153	0.215074222	634	-0.23155562	1553	-0.227602002	1502	0.099173563	1338	0.592572688	821	1644.5	1187	986
"ALB;albumin:2-lysophosphatidylcholine complex (complex);albumin:bile salt and acid (OATP-A) complex (complex);albumin:bile salt complex (complex);albumin:cholate bile salt complex (complex);glycocholate-, taurocholate-, taurochenodeoxycholate-albumin complex (complex)"	-3.940994422	2447	-1.744716758	2293	-0.264403935	1503	0.677798217	768	-1.782802312	1986	1.518849781	471	1.960598569	392	2216.5	580	987
IL-1-alpha/IL-1RI/IL-1RAcP/TOLLIP/MYD88/IRAKs (complex);IL-1-beta/IL-1RI/IL-1RAcP/TOLLIP/MYD88/IRAKs (complex)	1.534913819	326	-2.106824557	2369	0.042999772	931	-0.373027251	1661	1.575557589	829	0.513593173	1045	-1.40192003	1608	577.5	1634.5	988
DHPG/mGLUR1 (complex);GRM1	-0.892327251	1762	-0.567394487	1736	0.222228483	624	-0.210051889	1538	1.689180788	792	0.078732697	1353	-0.252641826	1141	1277	1339.5	988.5
Ephrin B/EPHB2 (complex);Ephrin B/EPHB2/Intersectin/N-WASP (complex)	1.498723681	342	2.117224975	101	-0.336418166	1627	-1.710437971	2325	0.14998662	1371	1.815339456	351	-1.356402255	1596	856.5	1960.5	989
SAP30	-1.732013034	2134	-1.270823401	2146	0.75353275	134	1.256923283	397	-1.676865392	1961	-0.721679371	1845	0.819428633	748	2047.5	572.5	989.5
SPAG9	-1.119933707	1882	0.851365388	521	0.137127377	766	0.284779447	1102	-2.185005136	2070	0.286045526	1213	1.095000391	659	1976	880.5	989.5
MGDIs/NGR/p75(NTR)/LINGO1 (complex)	-0.049188371	1274	-0.462302847	1648	-0.144503738	1271	0.312433282	1074	1.233733439	965	1.051263116	708	-1.359050508	1597	1119.5	1335.5	989.5
CASP10;CASP10_0-0	1.053368605	570	-0.890279938	1954	-0.239599075	1465	0.195709267	1186	2.69268011	473	1.429026514	516	-3.484561283	2229	521.5	1707.5	990.5
TRPC2	-2.605578146	2326	-2.161301866	2381	-0.567740176	1966	-0.608414707	1835	3.893882771	208	3.889813897	17	4.046703125	102	1267	968.5	991.5
JAM-B homodimer (complex);JAM2;VLA-4 bound to JAM-B (complex)	-0.544809549	1571	1.306934332	300	0.26991446	559	-0.99686897	2067	-0.319658613	1532	-0.032236404	1424	-0.035158689	1075	1551.5	1571	991.5
LAMA5	0.395159121	971	-2.045318821	2356	0.432562233	358	1.302933838	369	-1.594156462	1942	-0.342306508	1626	0.063975039	1038	1456.5	703.5	992
POU2F1	0.048097457	1200	-2.610911407	2441	-0.312231751	1590	-0.337982306	1627	0.613937966	1217	1.721597535	394	-0.342665854	1171	1208.5	1399	992
MIM-1	-1.341135074	1986	-0.826115626	1909	0.015121311	970	-0.233962787	1555	-1.19587823	1812	0.559088058	1015	2.081245673	371	1899	963	992.5
Syndecan-1/CD147 (complex)	0.173077401	1112	0.489067786	791	-0.372846224	1681	-0.45513331	1724	2.281405965	596	1.944841814	304	-2.8124193	2066	854	1895	992.5
HMGN1;RPS6KA5	-2.040718621	2220	-1.695011714	2279	0.540048321	260	-0.397346579	1683	-0.38590114	1553	-0.507431662	1726	0.955505879	707	1886.5	1195	993
CBX5	-1.103896453	1871	-0.277680075	1474	-0.121351538	1232	-0.86929574	1993	3.785566354	224	0.996972234	755	-3.034074841	2121	1047.5	2057	993.5
Calcineurin A alpha-beta B1/DSCR1L1 (complex);RCAN2	3.190490144	37	-0.393252173	1577	0.398384877	394	0.903318001	594	3.113723349	363	-0.305043559	1594	-3.570026905	2248	200	1421	994
CYSLTR2;LTA4/CysLT2 (complex);LTD4/CysLT2 (complex)	-1.420174449	2021	1.243197679	333	-0.021482095	1037	1.114804294	480	-2.272232772	2098	0.656037897	952	-0.383241632	1190	2059.5	835	994.5
APOA5	1.28337585	445	0.79066022	556	-0.044477226	1087	0.406004654	998	-0.105872855	1461	0.737322107	903	-2.223101408	1888	953	1443	995
SCTR	1.059251741	564	-0.265793301	1459	0.176279293	702	1.332703767	353	1.474539039	876	0.168698803	1290	-2.789322936	2061	720	1207	996
ZNF143	-0.339440801	1462	-1.65178663	2270	0.405762231	382	-1.093715348	2101	-1.554027337	1933	-0.334236869	1611	2.564693261	282	1697.5	1191.5	996.5
LDLRAP1	0.294788847	1024	-0.511347247	1687	-0.262467145	1500	-0.420169738	1700	0.678233734	1190	1.471498491	493	-1.122912631	1489	1107	1594.5	996.5
PD-1:PD-1 ligands (complex);PDCD1	-0.699095789	1655	1.664373574	183	-0.430290133	1772	0.12927466	1247	1.141589119	1005	2.240907457	221	-2.602648616	1993	1330	1620	996.5
CASP4	1.99147161	180	0.223742286	997	0.045898162	923	-1.556684272	2281	1.439018812	893	0.473587877	1070	-2.26176452	1904	536.5	2092.5	996.5
GH/GH R (complex)	0.492364401	909	0.878423217	500	-0.05968162	1111	1.605844449	236	-1.341891244	1866	0.764446581	883	-1.040137389	1457	1387.5	846.5	997
LNX1	-2.364426697	2284	-0.888737086	1951	0.327560527	476	0.063885529	1287	-0.792721924	1696	-0.189056451	1519	1.853570343	421	1990	854	997.5
F Va_0-0;F5	-1.416558762	2018	-2.608155465	2439	-0.294914513	1556	0.754788837	717	0.767394536	1154	1.598599062	442	-0.344764084	1173	1586	945	999
Basigin:MMP1 (complex)	-0.85258045	1743	0.791345263	555	-0.575733845	1975	-0.969605406	2051	0.425052914	1279	3.718988604	23	-1.985825739	1807	1511	1929	999
WIF1	-4.310055195	2461	-2.361221802	2418	0.365101849	441	3.720663424	10	-0.706367025	1667	-0.262447396	1559	0.570339706	836	2064	423	1000
RARs/Src-1/Cbp/p300/PCAF/9cRA (complex)	-0.384851568	1484	0.073927097	1147	0.413608045	371	1.353880053	350	-2.626164254	2175	-0.348019355	1630	1.035488864	679	1829.5	514.5	1000.5
HCK;Hck-1:Nef (complex)	0.094705067	1169	-0.752815855	1869	-0.249765136	1482	1.820953233	180	-0.239967453	1504	1.422868301	520	-1.214357842	1541	1336.5	860.5	1001
HDAC7;T-DHT/AR (complex)	2.326552301	117	-1.427374193	2198	0.048450968	919	0.545709524	883	3.707190608	243	0.452944011	1084	-3.751528133	2283	180	1583	1001.5
POR	-0.004873709	1244	0.250601098	963	0.248413192	582	1.579303532	251	3.100148006	365	-0.029521454	1423	-3.258608413	2183	804.5	1217	1002.5
CNR1;anandamide/CB-1R (complex)	-0.241915479	1400	0.301524823	925	0.30736998	505	0.597925795	828	2.225426628	613	-0.157444944	1500	-2.074127024	1836	1006.5	1332	1002.5
CEP250;Centrosomes containing recruited CDK11p58 (complex);cNAP-1 depleted centrosome (complex);centrosome (complex);Nlp-depleted centrosome (complex);Mature centrosomes enriched in gamma-TURC complexes (complex);centrosome containing phosphorylated Nlp (complex)	0.005111692	1233	1.809390726	153	-0.367113937	1668	0.101504684	1265	-0.958212632	1749	1.860480197	337	-1.181209013	1524	1491	1394.5	1002.5
MyD88:Mal complexed with the activated TLR receptor (complex)	0.496279614	907	-1.617747685	2264	0.177080306	699	0.843873804	638	-2.906175338	2220	0.151768427	1307	2.138793582	360	1563.5	499	1003
UNC13B	0.145946038	1131	-0.260544792	1456	-0.180290574	1349	0.481600167	945	0.48684434	1265	1.147901786	660	-1.34150924	1589	1198	1267	1004.5
PLCE1	-1.021402139	1827	-2.201449617	2388	0.32465138	484	1.42687353	315	-1.733111557	1976	-0.207805964	1526	1.795056129	440	1901.5	377.5	1005
MYST2	-0.999310554	1819	-0.921302118	1973	-0.002118861	1005	1.125910714	470	-3.46085627	2293	0.574918721	1005	1.983463334	388	2056	429	1005
endothelial cell migration (abstract)	-0.548459453	1574	-0.374142342	1554	0.554773986	247	1.112646727	481	-1.238959252	1829	-0.584796124	1763	1.315304581	583	1701.5	532	1005
CRADD	-5.053582862	2484	-2.068143915	2360	0.034631037	943	3.20542141	22	-1.625395013	1950	0.477258384	1068	1.941961032	399	2217	210.5	1005.5
BAK/p53 (complex);p53/BCL2 subfamily (complex);TP53;anoikis (abstract)	0.907992238	647	-2.003470023	2348	0.165820414	717	0.253782535	1132	0.918656108	1091	0.164804727	1294	-1.72364987	1719	869	1425.5	1005.5
FZR1;APC/C (complex);phospho-Cdh1:phospho-APC/C (complex);multiubiquitinated Cdh1 associated with APC/C (complex)	-1.46696209	2042	0.120835614	1112	-0.367239786	1669	-1.621879636	2295	0.869126054	1117	1.83870992	342	-0.459846256	1224	1579.5	1759.5	1005.5
PTGES	2.96875186	46	-0.167445267	1375	-0.022626425	1039	0.828112796	651	-2.58198402	2166	0.627522627	973	-0.550305714	1264	1106	957.5	1006
CHN2	-0.691432571	1650	-0.443545943	1630	1.666936703	10	2.238734872	102	-3.86484442	2338	-1.048430856	2004	1.051987916	674	1994	388	1007
SNW1	-0.213382358	1379	1.407107788	257	0.514550606	286	0.444814357	969	-3.132073594	2249	-0.514752198	1728	0.679743058	789	1814	879	1007
IL17F	-0.450778432	1515	-0.510786472	1686	0.032170359	950	-0.106681437	1448	1.514000996	854	0.481761291	1064	-0.509443352	1246	1184.5	1347	1007
T cell proliferation (abstract)	0.913526398	643	0.561954797	720	-0.10519141	1200	-1.263394265	2179	5.063043412	76	0.867138995	815	-3.640082653	2267	359.5	2223	1007.5
DDIT4;REDD1/14-3-3 family (complex)	0.370932035	983	-0.837986207	1916	-0.502495557	1884	0.546002401	882	2.572746671	504	2.674563417	132	-3.839395608	2303	743.5	1592.5	1008
MYLPF	-2.415014332	2290	-0.28806456	1485	0.357257193	450	0.758078644	714	-1.836613795	1997	-0.273820249	1568	0.497944686	871	2143.5	792.5	1009
cell cycle arrest (abstract)	-2.475735182	2298	0.191043091	1036	0.043830355	927	0.812201648	663	-0.034419419	1433	0.450289662	1091	-0.647164942	1300	1865.5	981.5	1009
FGB;FGA;Fibrinogen (complex)	-0.673188145	1637	-1.471766471	2213	0.493873849	301	1.739009533	196	-3.789181281	2327	-0.493742043	1718	1.60095893	510	1982	353	1009.5
bZip	0.030387175	1212	-0.181813795	1388	0.20652043	651	0.256756223	1127	1.18168087	984	0.048245566	1368	-1.081701145	1471	1098	1299	1009.5
SIRT2;Tubulin/SIRT2 (complex)	0.969514556	613	-0.360625789	1543	0.204653172	654	-0.731840661	1910	1.91712473	710	0.05092772	1365	-0.973876414	1420	661.5	1665	1009.5
EP1 receptor:PGE2 (complex);Prostaglandin E1/PGE1R (complex);Prostaglandin E2/EP1R (complex);PTGER1	0.050426364	1199	0.865360888	513	-0.334416075	1624	-1.49155696	2260	0.305572461	1318	1.718513363	397	-0.253508727	1142	1258.5	1701	1010.5
NTS;Neurotensin:Neurotensin receptor (complex)	-4.174811842	2455	-1.524265368	2236	0.15457253	735	1.4103979	322	-0.628508302	1635	0.175459295	1287	1.877035262	414	2045	368	1011
GRIP1	-1.700517614	2125	-3.107359665	2475	0.651763386	191	4.043439554	5	-0.700104307	1666	-0.700153454	1831	-0.699183741	1318	1895.5	661.5	1011
REELIN/ApoER2 (complex)	1.558593841	321	-0.136205009	1342	-0.004084767	1010	-0.987905477	2060	4.640984887	111	0.563468459	1013	-4.375872394	2399	216	2229.5	1011.5
NFATc(+)/MEF2C/GATA4 (complex)	-0.621675676	1616	-0.549705794	1725	0.05249224	913	-0.579735056	1810	-0.32759866	1535	0.422514919	1111	0.956377741	706	1575.5	1258	1012
TBP	-0.384325239	1482	-0.377848084	1558	0.175547769	704	-0.016267033	1373	2.19669669	629	0.128129434	1322	-1.160475578	1512	1055.5	1442.5	1013
LIPC	-1.606793269	2097	0.972863896	451	-0.264529096	1504	0.921478335	581	-1.939970098	2015	1.420455767	523	0.082473844	1029	2056	805	1013.5
S1P/EDG1/G-beta/G-gamma/G-alpha-i (complex)	-3.278904258	2396	-1.267842629	2144	0.444890998	344	0.367870861	1030	1.874734403	723	-0.441078465	1683	-1.541049926	1650	1559.5	1340	1013.5
STAT6 (dimer) (complex)	-1.56700421	2077	-1.281079524	2151	-0.023422885	1042	0.529128293	895	-0.08701209	1450	0.59794027	986	0.68323164	787	1763.5	841	1014
CHD7	-0.801794963	1714	-0.724352182	1849	-0.311809349	1588	-0.086108255	1434	1.763218634	769	1.601034972	440	-0.848226024	1369	1241.5	1401.5	1014
ATF2/p300 (complex)	-0.361694457	1475	0.56576342	717	0.149718588	742	-0.505662791	1763	0.026853572	1419	0.171110502	1289	-0.043334133	1080	1447	1421.5	1015.5
DEC1/BMAL1 (complex)	0.713882413	754	-0.435889316	1621	-0.150345829	1281	-0.683796937	1877	1.544680054	842	0.999547837	752	-0.852699653	1374	798	1625.5	1016.5
NKD2	0.457090927	933	0.322235175	904	0.689702321	163	-0.486606235	1750	-0.355604336	1546	-0.780513268	1871	-0.162707983	1114	1239.5	1432	1017
NCBP2	-0.595352908	1599	0.555813865	728	0.283287514	538	0.090824185	1271	4.049616459	181	-0.152487803	1496	-2.101298263	1846	890	1558.5	1017
"Exon Junction Complex (complex);CF I (complex);CF II (complex);CstF (complex);Ligated exon containing complex (complex);RNA polymerase II (phosphorylated):TFIIF complex (complex);intron-containing complex (complex);capped, methylated pre-mRNP:CBC complex (complex)"	-1.974976713	2205	-0.424780043	1614	-0.194000872	1375	0.870447423	615	-5.105473953	2424	1.141736732	662	3.381777597	158	2314.5	386.5	1018.5
BRSK2;AMPKK1-AMPKK2-active (complex);ATP biosynthetic process (abstract);mTORC1 complex (complex);mTORC1 complex/14-3-3 family (complex);KIAA0999;SIK3/14-3-3 family (complex);LKB1/MO25/STRADA-STRADB (complex);SIK1;SIK2;SIK1/14-3-3 family (complex);Wnt receptor signaling pathway (abstract)	0.035920841	1210	0.96434274	454	-0.452141949	1808	-1.74456147	2334	-1.507754603	1913	2.209855373	230	0.589765438	830	1561.5	1582	1019
CHRD	-1.443042149	2031	-2.252087878	2398	0.705329086	156	1.114929744	479	-3.566262401	2305	-0.792195945	1884	2.318184491	332	2168	405.5	1020
WWOX	1.107677328	542	-0.106399736	1309	0.611338326	214	2.033732114	135	2.606905005	495	-0.688227881	1826	-4.355290269	2398	518.5	1266.5	1020
BDNF (dimer)/p75(NTR) (complex)	1.817708179	226	0.672972867	631	0.038814466	937	-0.719920923	1900	1.414352362	898	0.429909311	1106	-2.358790492	1929	562	1914.5	1021.5
PDE3B	-0.035663589	1265	-0.274507283	1465	0.070127686	875	-0.944986583	2033	-0.078262365	1447	0.34126902	1171	0.266436827	948	1356	1490.5	1023
PDE2A	-0.330197786	1458	0.250129935	966	0.449074896	341	-0.387525003	1674	0.839943593	1131	-0.462049107	1705	-0.711101806	1322	1294.5	1498	1023
RAP2B	-0.65904035	1632	-2.694890746	2450	0.40500302	383	1.287219211	378	-4.096799646	2360	-0.405248597	1664	2.783678691	242	1996	310	1023.5
LIG3	-0.804634544	1715	-1.042531241	2041	0.293809353	523	-0.306624416	1604	-2.782539879	2204	-0.196651491	1524	2.95172141	220	1959.5	912	1023.5
EGF;EGF R/SRC/EGF (complex)	-1.052485745	1847	-1.09862278	2066	0.619911783	211	1.729616911	198	-1.1691679	1803	-0.708668411	1837	1.162296148	637	1825	417.5	1024
AKT:CTMP:TRB3 (complex)	-2.29620368	2271	-0.99480893	2017	0.878829193	92	-1.635862605	2302	-0.806778691	1698	-0.943073915	1956	-0.028439396	1071	1984.5	1686.5	1024
PTPN7	-0.145880631	1338	-2.229113548	2392	-0.29563084	1561	0.49539735	928	0.014626578	1421	1.489621032	488	0.094055889	1023	1379.5	975.5	1024.5
WNT7A	0.508702983	896	-0.790005148	1888	-0.027280006	1056	0.756006158	716	0.853248848	1124	0.5850574	994	-1.018320898	1446	1010	1081	1025
ATF2/JDP2 (complex)	0.293331742	1027	-0.974981716	2005	-0.140056818	1264	0.675665931	770	0.112937162	1388	0.930362511	786	-1.421901838	1614	1207.5	1192	1025
F Xa/F VIIIa/PF3 (complex);F Xa_0-0	2.069669457	161	0.204290225	1022	0.125124526	788	-0.789458517	1946	1.829992435	743	0.206687724	1264	-2.631173763	2003	452	1974.5	1026
PROS1	0.717846624	749	1.463764973	239	0.03069602	952	-1.734131919	2329	4.133293823	170	0.433320583	1103	-3.061842796	2124	459.5	2226.5	1027.5
DKK1/LRP6 (complex)	-1.009463142	1825	-1.460621576	2210	-0.562846599	1960	0.407826945	996	0.964754885	1064	2.922926294	97	-0.509828157	1247	1444.5	1121.5	1028.5
COL17A1	-0.327295986	1454	-0.498543477	1684	-0.3794138	1697	-0.207797405	1537	-1.162632436	1801	1.785734865	365	0.122154438	1014	1627.5	1275.5	1031
DSP;MAPK	1.460174313	356	-8.265764454	2516	0.524500888	275	-0.609202048	1836	3.05687175	383	-0.614060105	1788	-1.805549857	1751	369.5	1793.5	1031.5
CRY2	-1.182889678	1913	-0.576789956	1741	0.608765286	216	1.317860469	359	-1.302941381	1851	-0.735273874	1848	0.704049134	784	1882	571.5	1032
CRP	-1.068871071	1853	-0.709439503	1840	0.356391041	451	0.769689785	706	0.520838798	1251	-0.335852068	1615	-0.803984149	1350	1552	1028	1033
PBX1	-2.381919483	2289	-3.85061186	2496	0.32379385	486	1.862617265	171	-3.857362718	2337	-0.292953534	1582	3.144951989	189	2313	180	1034
FOXH1	0.258556557	1054	-1.107364699	2070	-0.198059266	1382	0.127555195	1248	2.367728986	564	1.092739823	687	-2.409874511	1945	809	1596.5	1034.5
TIAM2	-0.622069114	1617	1.331732117	288	0.183459694	690	-2.039765683	2381	3.711040424	241	0.029420572	1380	-1.578074203	1663	929	2022	1035
TCF4/beta catenin/KLF4 (complex)	-0.751128583	1679	-0.699740433	1833	-0.078854356	1150	-0.986116164	2059	-1.552617061	1932	0.70413738	921	1.1196787	647	1805.5	1353	1035.5
CD40/CD40L (trimer)/TRAF6/PI3K Class I family/CBL-b (complex);CD40/CD40L (trimer)/TRAF6 (complex);B cell affinity maturation (abstract);plasma cell differentiation (abstract)	-0.18961485	1363	-0.897784404	1959	0.093645373	835	0.280692556	1107	-0.391106716	1556	0.235580039	1237	0.25927368	950	1459.5	1028.5	1036
GHRH receptor:GHRH (complex)	-1.877109416	2179	0.254443624	961	0.604902892	219	1.632078255	229	-2.955270691	2227	-0.74778596	1855	1.244854975	610	2203	419.5	1037
CD40/CD40L (trimer)/TTRAP (complex)	-0.215737572	1381	0.379883609	864	0.468597008	322	0.193571813	1188	-0.18362406	1486	-0.566373207	1754	-0.087788534	1096	1433.5	1142	1038
PGLYRP1;PGN/PGRP (complex)	-0.227648694	1389	-0.917485763	1969	0.034493853	944	0.141599846	1235	0.191214337	1361	0.392911296	1135	0.172476517	986	1375	1110.5	1039.5
DTX1	-2.571813572	2316	-1.694010228	2277	0.800918208	111	1.667099743	219	-2.987095947	2233	-0.982431184	1969	2.908273491	230	2274.5	224.5	1040
phosphorylated Mcm2-7 complex (complex)	0.509540692	895	-0.387543679	1571	-0.208531279	1401	-0.161385412	1496	2.669034382	477	1.112784399	679	-3.063836945	2125	686	1810.5	1040
VLDLR	0.544469526	864	2.179052496	93	-0.211620922	1404	-2.475174566	2434	3.997670426	188	1.117887354	676	-3.674549944	2270	526	2352	1040
TF:F7 (complex)	2.153724954	145	0.58866813	698	0.554863586	246	-3.558786153	2504	3.756808337	230	-0.704866282	1835	-3.868889107	2308	187.5	2406	1040.5
SFXN3	-1.77909556	2148	-1.08908573	2062	-0.305762636	1579	0.986305259	542	-3.826511245	2333	1.452012991	504	3.588144439	141	2240.5	341.5	1041.5
PRKCG	-2.085200271	2229	-0.929060816	1978	-0.239815861	1466	-0.943301523	2030	1.534226774	844	1.222438128	619	0.306318666	935	1536.5	1482.5	1042.5
CRH;adrenocorticotropin secretion (abstract)	-3.11909267	2384	-0.696727536	1829	0.177014943	700	-0.295574839	1595	-0.104033578	1460	0.022736816	1386	1.486596495	536	1922	1065.5	1043
CASP9	-2.515340987	2304	1.020420019	425	0.291099888	528	0.892649683	603	2.017092097	683	-0.261082795	1558	-2.478506595	1966	1493.5	1284.5	1043
RFFL	-0.769352705	1689	-0.88604728	1948	0.14480799	751	-0.909963174	2016	-2.194918146	2073	0.099156217	1339	2.445232896	305	1881	1160.5	1045
SLK fragment_436-1204	-0.722117821	1667	-0.220438822	1418	-0.369689996	1674	-0.398038481	1686	-1.598291244	1943	1.679935285	416	0.781565688	760	1805	1223	1045
53BP1:H2AX complex at site of double-strand break (complex)	1.791534178	233	0.159027185	1075	0.06596123	882	0.24347758	1147	0.291108961	1323	0.287656728	1210	-1.660132025	1694	778	1420.5	1046
SGOL1	0.169998226	1113	0.162170296	1069	-0.445433975	1799	0.823587666	656	1.143177595	1004	1.97007518	294	-1.403172995	1609	1058.5	1132.5	1046.5
POLA1	-0.296101459	1439	1.553868274	210	-0.681337401	2086	-1.464098955	2246	5.923389389	44	4.447183707	8	-3.173786876	2163	741.5	2204.5	1047
ECT2	0.827128223	674	0.170376397	1060	0.034198369	946	-1.159123844	2138	5.902086638	45	0.377364325	1148	-4.217915213	2374	359.5	2256	1047
INADL	2.057431552	163	-0.231382078	1423	0.663928805	175	-1.549452725	2280	2.143094505	644	-0.871548435	1920	-1.811265244	1753	403.5	2016.5	1047.5
nuclear export (abstract)	-0.570442303	1587	0.144902545	1090	0.30335841	510	1.292347178	375	-1.514399067	1917	-0.298244059	1587	-0.106337805	1102	1752	738.5	1048.5
SMAD2;SMAD2/SARA (complex);TGFB/TGFBR2/TGFBR1/ENDOFIN (complex)	-1.100835176	1870	-0.525755923	1704	0.214955894	635	-1.141452166	2128	-0.509382508	1598	-0.094271112	1466	1.006143909	689	1734	1408.5	1050.5
PTPRR	-3.60573382	2421	-0.86630441	1935	0.022917301	966	2.720738815	44	-1.972467013	2020	0.38953897	1138	1.78057673	442	2220.5	243	1052
Basigin bound to CyPA (complex)	-1.374374781	2001	-0.249042305	1445	-0.318870313	1596	-0.390254727	1676	-1.923286409	2012	1.447725704	508	0.839584483	743	2006.5	1209.5	1052
CAP1	0.985278896	605	0.725969022	599	0.155482732	733	-0.461101809	1731	3.731584461	233	0.044114687	1371	-3.611234828	2258	419	1994.5	1052
DNA methylation (abstract)	1.242592116	477	1.140899651	362	-0.349121978	1641	-0.947739087	2034	4.030685637	186	1.530872883	464	-3.783426839	2294	331.5	2164	1052.5
PAX6	1.513391953	337	0.524299559	755	-0.271816769	1510	-0.189493198	1523	2.920031944	413	1.254983661	598	-3.150092685	2157	375	1840	1054
MMP3	1.142273726	526	1.137170158	366	0.109979187	810	-1.281414389	2185	0.753254786	1159	0.161851984	1298	-1.623130863	1679	842.5	1932	1054
MDC1	2.465842968	95	0.609167295	683	0.23986586	594	-0.267680718	1576	4.235509831	156	-0.18689465	1518	-3.280354956	2185	125.5	1880.5	1056
GATA1/HDAC4 (complex)	-2.011701726	2214	2.506434024	63	-0.169859098	1323	-0.934561578	2027	2.416802253	543	0.912873127	791	-1.45682419	1627	1378.5	1827	1057
BRD2	2.386189988	106	-1.296671491	2159	0.134404918	772	0.79479194	679	-0.252871206	1511	0.095973595	1343	-0.551531165	1265	808.5	972	1057.5
SHB	1.780718572	237	0.158735662	1078	-0.373091768	1682	0.158348654	1213	1.902716076	715	1.623127238	433	-3.126933238	2141	476	1677	1057.5
SDF1/CXCR4/CD45 (complex)	-2.877002406	2360	-0.635125342	1790	0.160716396	722	0.840941782	643	1.744829383	777	0.0104207	1394	-2.013232088	1815	1568.5	1229	1058
TRADD	1.896677434	205	1.570138396	207	0.32503437	483	2.066090477	128	1.79381367	756	-0.354110519	1633	-4.725639301	2435	480.5	1281.5	1058
CYP1A2	-1.912982491	2189	-0.495533707	1680	-0.088488184	1164	0.780137024	696	-1.769916392	1984	0.654685464	954	1.516374604	529	2086.5	612.5	1059
CHD4	-0.126938896	1324	-1.03600712	2039	0.126023938	787	-0.242472111	1563	1.824094702	746	0.112652441	1331	-0.081273781	1091	1035	1327	1059
CD247;TCRz/NEF (complex)	-2.863739329	2357	-2.282591965	2400	-0.474918363	1841	-0.48175239	1744	1.777567663	766	2.013162244	278	-0.616287774	1294	1561.5	1519	1059.5
GMNN	0.383360289	977	0.848482237	523	-0.110382281	1209	-1.270434289	2181	3.861768382	215	0.721587717	912	-2.481624083	1968	596	2074.5	1060.5
BMF;BMF sequestered to dynein (DLC2) (complex)	-0.195455607	1368	-1.694380502	2278	-0.142346749	1268	1.528954776	270	-2.778571075	2203	0.806485687	857	0.709535616	780	1785.5	525	1062.5
