CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
COLO-205,CSNK2A1,SRC,10,0.03,10,1.2990696,4.29865678,0.005269652,2.132752,1.08139374,NA,1,CSNK2A1.SRC
HT-29,CSNK2A1,SRC,10,0.03,1.448817915,1.2538643,3.48238764,0.007085448,1.7854566,0,NA,1,CSNK2A1.SRC
LS-513,CSNK2A1,SRC,10,0.3,0.603518881,1.5056683,37.48533072,0.063009356,2.3872549,6.36148725,NA,1,CSNK2A1.SRC
NCI-H747,CSNK2A1,SRC,10,0.3,2.430432451,2.2671459,65.38728464,0.004922314,3.0395553,27.9009756,NA,1,CSNK2A1.SRC
SW48,CSNK2A1,SRC,10,0.03,0.075277321,0.6826087,15.2633715,0.00236127,4.9955317,0.76183137,NA,1,CSNK2A1.SRC
SW620,CSNK2A1,SRC,10,0.03,1,0,100,0.005209914,2.4432885,0,NA,1,CSNK2A1.SRC
SW837,CSNK2A1,SRC,10,0.03,0.306022646,1.2555531,26.61554287,0.00551547,2.6512773,17.84158228,NA,1,CSNK2A1.SRC
SW948,CSNK2A1,SRC,10,0.03,0.372722228,1.4595041,36.04783702,0.009723298,10,8.89877262,NA,1,CSNK2A1.SRC
A549,BCL2L1,CSNK2A1_2,0.1,3,0.01488881,4.7154098,8.46842948,0.016696994,0.629897,13.28300535,NA,1,BCL2L1.CSNK2A1_2
Calu-6,BCL2L1,CSNK2A1_2,0.03,3,0.008726824,1.7235234,8.67647971,3e-04,0.1,50.27375412,NA,1,BCL2L1.CSNK2A1_2
NCI-H1299,BCL2L1,CSNK2A1_2,0.1,3,0.029759704,2.4093618,9.58526131,1,0,100,NA,1,BCL2L1.CSNK2A1_2
NCI-H1437,BCL2L1,CSNK2A1_2,0.1,3,0.009906162,10,14.04927451,3,0.4498809,49.12628075,NA,1,BCL2L1.CSNK2A1_2
NCI-H1563,BCL2L1,CSNK2A1_2,0.03,3,0.009380413,1.0609746,0,3e-04,0.1,84.31913523,NA,1,BCL2L1.CSNK2A1_2
NCI-H1703,BCL2L1,CSNK2A1_2,0.1,3,0.011621665,2.8719833,10.56433026,3,0.1215248,93.24210019,NA,1,BCL2L1.CSNK2A1_2
NCI-H1793,BCL2L1,CSNK2A1_2,0.1,3,0.010480192,1.8906391,8.16777781,0.641075649,0.775816,43.53050241,NA,1,BCL2L1.CSNK2A1_2
NCI-H1975,BCL2L1,CSNK2A1_2,0.03,3,0.020002995,1.9525198,0,0.324010516,1.2059641,64.53208508,NA,1,BCL2L1.CSNK2A1_2
NCI-H2085,BCL2L1,CSNK2A1_2,0.03,3,0.008365447,1.2042609,14.886888,0.119573621,0.7829657,58.38885325,NA,1,BCL2L1.CSNK2A1_2
NCI-H2170,BCL2L1,CSNK2A1_2,0.03,3,0.006462937,2.281952,10.0246661,0.952820793,1.4904336,16.49400258,NA,1,BCL2L1.CSNK2A1_2
NCI-H2228,BCL2L1,CSNK2A1_2,0.1,3,0.035630848,0.6269929,0,0.315669992,0.5940534,28.23389827,NA,1,BCL2L1.CSNK2A1_2
NCI-H2291,BCL2L1,CSNK2A1_2,0.01,3,0.002356855,1.9195735,21.75630071,0.080192437,2.8791923,31.92118792,NA,1,BCL2L1.CSNK2A1_2
NCI-H23,BCL2L1,CSNK2A1_2,0.1,3,0.005780808,1.1156801,7.53382597,0.173525677,10,86.52035503,NA,1,BCL2L1.CSNK2A1_2
NCI-H3122,BCL2L1,CSNK2A1_2,0.1,3,0.005116402,1.5190801,0,3e-04,0.1,75.87245139,NA,1,BCL2L1.CSNK2A1_2
NCI-H358,BCL2L1,CSNK2A1_2,0.1,3,0.012069776,3.2450535,16.07396034,3e-04,0.1,79.35296048,NA,1,BCL2L1.CSNK2A1_2
NCI-H520,BCL2L1,CSNK2A1_2,0.03,3,0.0074752,1.1948184,5.96283275,1,0,100,NA,1,BCL2L1.CSNK2A1_2
NCI-H522,BCL2L1,CSNK2A1_2,0.03,3,0.004021047,3.5953864,7.49694944,3,0.1756402,47.23628598,NA,1,BCL2L1.CSNK2A1_2
NCI-H838,BCL2L1,CSNK2A1_2,0.1,3,0.005787167,3.0164965,5.47423544,3,0.3722714,78.02367201,NA,1,BCL2L1.CSNK2A1_2
SW900,BCL2L1,CSNK2A1_2,0.01,3,0.002728169,3.0839497,32.08426036,0.027945462,0.7225631,56.96321247,NA,1,BCL2L1.CSNK2A1_2
A549,BRAF_M,CSNK2A1_2,0.1,3,0.015835235,5.0125896,8.81371917,1,0,100,NA,1,BRAF_M.CSNK2A1_2
Calu-6,BRAF_M,CSNK2A1_2,0.03,3,0.010530651,1.7533647,6.24088102,0.911117018,10,18.29921133,NA,1,BRAF_M.CSNK2A1_2
NCI-H1299,BRAF_M,CSNK2A1_2,0.1,3,0.025375472,2.3739984,11.55006169,1,0,100,NA,1,BRAF_M.CSNK2A1_2
NCI-H1437,BRAF_M,CSNK2A1_2,0.1,3,0.01054724,7.6752889,13.834738,3e-04,0.1,92.51302255,NA,1,BRAF_M.CSNK2A1_2
NCI-H1563,BRAF_M,CSNK2A1_2,0.03,3,0.012144806,1.57501,0,3e-04,0.1,86.39673616,NA,1,BRAF_M.CSNK2A1_2
NCI-H1703,BRAF_M,CSNK2A1_2,0.1,3,0.011755998,3.3176419,12.04508184,1.086317737,10,82.89933659,NA,1,BRAF_M.CSNK2A1_2
NCI-H1793,BRAF_M,CSNK2A1_2,0.1,3,0.010787268,1.9457723,8.458258,0.426930951,2.2024129,7.16690123,NA,1,BRAF_M.CSNK2A1_2
NCI-H1975,BRAF_M,CSNK2A1_2,0.03,3,0.013956108,1.0325109,0,3,0.8481805,85.83304286,NA,1,BRAF_M.CSNK2A1_2
NCI-H2085,BRAF_M,CSNK2A1_2,0.03,3,0.006307932,2.209818,31.27314884,1,0,100,NA,1,BRAF_M.CSNK2A1_2
NCI-H2170,BRAF_M,CSNK2A1_2,0.03,3,0.007121619,2.5422284,14.50642028,0.80007222,10,7.19732334,NA,1,BRAF_M.CSNK2A1_2
NCI-H2228,BRAF_M,CSNK2A1_2,0.1,3,0.030806236,1.5300378,23.98614996,3,10,64.60058982,NA,1,BRAF_M.CSNK2A1_2
NCI-H2291,BRAF_M,CSNK2A1_2,0.01,3,0.002216164,2.3228271,27.74429758,1,0,100,NA,1,BRAF_M.CSNK2A1_2
NCI-H23,BRAF_M,CSNK2A1_2,0.1,3,0.007248165,1.1305757,4.40193106,3e-04,0.1,81.46570001,NA,1,BRAF_M.CSNK2A1_2
NCI-H358,BRAF_M,CSNK2A1_2,0.1,3,0.010842644,4.6483225,16.80680952,3,0.5721782,46.32053073,NA,1,BRAF_M.CSNK2A1_2
NCI-H520,BRAF_M,CSNK2A1_2,0.03,3,0.008330334,1.1565489,5.32194485,3e-04,0.1,92.26697417,NA,1,BRAF_M.CSNK2A1_2
NCI-H522,BRAF_M,CSNK2A1_2,0.03,3,0.005112433,4.1459042,6.22824166,3,10,73.00060971,NA,1,BRAF_M.CSNK2A1_2
NCI-H838,BRAF_M,CSNK2A1_2,0.1,3,0.011596129,2.5346618,2.6118613,0.319616131,3.3740032,3.41297754,NA,1,BRAF_M.CSNK2A1_2
SW900,BRAF_M,CSNK2A1_2,0.01,3,0.003052974,10,34.69953588,3,10,80.00017615,NA,1,BRAF_M.CSNK2A1_2
A549,BRAF_M2,CSNK2A1_2,0.1,3,0.014531097,4.5324515,8.04075868,0.032225128,3.2854643,89.15685319,NA,1,BRAF_M2.CSNK2A1_2
Calu-6,BRAF_M2,CSNK2A1_2,0.03,3,0.008026668,1.4081257,2.90939807,1.37296903,0.4847475,7.4279334,NA,1,BRAF_M2.CSNK2A1_2
NCI-H1299,BRAF_M2,CSNK2A1_2,0.1,3,0.024667954,2.1229685,8.97503469,1.969583536,1.5287522,32.6351163,NA,1,BRAF_M2.CSNK2A1_2
NCI-H1437,BRAF_M2,CSNK2A1_2,0.1,3,0.009742274,2.8970024,10.72527339,0.134898346,0.5241945,76.63043121,NA,1,BRAF_M2.CSNK2A1_2
NCI-H1563,BRAF_M2,CSNK2A1_2,0.03,3,0.011433727,1.3426337,0,1,0,100,NA,1,BRAF_M2.CSNK2A1_2
NCI-H1703,BRAF_M2,CSNK2A1_2,0.1,1,0.010811163,2.113028,7.41773555,0.085915091,1.8513183,21.52268964,NA,1,BRAF_M2.CSNK2A1_2
NCI-H1793,BRAF_M2,CSNK2A1_2,0.1,3,0.008842909,2.8997855,11.16378724,1.157734546,10,77.09832051,NA,1,BRAF_M2.CSNK2A1_2
NCI-H1975,BRAF_M2,CSNK2A1_2,0.03,3,0.023752696,2.695624,0,0.689057398,1.2296036,73.10912084,NA,1,BRAF_M2.CSNK2A1_2
NCI-H2085,BRAF_M2,CSNK2A1_2,0.03,3,0.006341975,0.9951647,15.11744529,3,0.618586,48.38547221,NA,1,BRAF_M2.CSNK2A1_2
NCI-H2228,BRAF_M2,CSNK2A1_2,0.1,3,0.032122929,0.6095184,0,3,0.4045434,16.40033361,NA,1,BRAF_M2.CSNK2A1_2
NCI-H2291,BRAF_M2,CSNK2A1_2,0.01,3,0.002656005,0.763578,0,1.653416328,0.7769563,0,NA,1,BRAF_M2.CSNK2A1_2
NCI-H23,BRAF_M2,CSNK2A1_2,0.1,3,0.008059122,1.4941027,9.70315388,1.14899507,0.8707317,36.10400835,NA,1,BRAF_M2.CSNK2A1_2
NCI-H358,BRAF_M2,CSNK2A1_2,0.1,3,0.010689487,3.1722225,14.76689715,3,0.3909418,93.20612164,NA,1,BRAF_M2.CSNK2A1_2
NCI-H520,BRAF_M2,CSNK2A1_2,0.03,3,0.005851777,1.4995496,19.48896401,0.061938799,10,93.06366698,NA,1,BRAF_M2.CSNK2A1_2
NCI-H522,BRAF_M2,CSNK2A1_2,0.03,3,0.004168268,2.283132,2.60858546,3,0.430112,61.13976924,NA,1,BRAF_M2.CSNK2A1_2
NCI-H838,BRAF_M2,CSNK2A1_2,0.1,3,0.007123275,3.0740975,5.81120433,3,1.6858124,63.46486431,NA,1,BRAF_M2.CSNK2A1_2
SW900,BRAF_M2,CSNK2A1_2,0.01,3,0.003082634,2.5063702,31.37260939,2.076316029,1.0172894,38.64175027,NA,1,BRAF_M2.CSNK2A1_2
647-V,EG5,HDAC_4,3,0.003,0.603481713,3.4190185,22.76226269,0.00252228,10,0,NA,1,EG5.HDAC_4
BFTC-905,EG5,HDAC_4,3,0.003,0.292298542,10,21.89972283,0.002076557,3.8812537,0,NA,1,EG5.HDAC_4
HT-1197,EG5,HDAC_4,3,3,1.051004873,10,40.4983049,3e-04,0.1,59.52611653,NA,1,EG5.HDAC_4
HT-1376,EG5,HDAC_4,3,0.1,0.895139088,0.7100844,0,0.001563299,3.2597916,27.75915025,NA,1,EG5.HDAC_4
J82,EG5,HDAC_4,3,3,1.089705351,2.8714645,22.81606331,3e-04,0.1028243,0,NA,1,EG5.HDAC_4
SW780,EG5,HDAC_4,3,0.003,1.095268608,0.5971711,0,1,0,100,NA,1,EG5.HDAC_4
T-24,EG5,HDAC_4,3,3,1.218560431,10,16.989852,0.018163581,10,1.14999911,NA,1,EG5.HDAC_4
TCCSUP,EG5,HDAC_4,3,0.003,0.683486464,1.5637728,4.99150754,0.002823638,10,0,NA,1,EG5.HDAC_4
UM-UC-3,EG5,HDAC_4,3,0.003,1.149309611,10,28.19510867,0.003,10,69.20006097,NA,1,EG5.HDAC_4
BT-20,EGFR,MTOR_1,1,0.1,0.5030753,0.8831558,0,0.073947318,0.4987138,40.71101974,NA,1,EGFR.MTOR_1
BT-549,EGFR,MTOR_1,1,0.1,0.232545505,1.5881295,24.13936021,0.013067524,10,89.09881304,NA,1,EGFR.MTOR_1
CAL-120,EGFR,MTOR_1,1,0.1,0.15215937,1.3946601,34.86434905,0.014485248,0.7822757,78.4328893,NA,1,EGFR.MTOR_1
CAL-148,EGFR,MTOR_1,1,0.1,1,0.3784563,40.83960964,1e-05,0.1,85.18459823,NA,1,EGFR.MTOR_1
CAL-51,EGFR,MTOR_1,1,0.1,0.31527029,1.032906,0,0.000224422,0.6483297,91.6972194,NA,1,EGFR.MTOR_1
CAMA-1,EGFR,MTOR_1,1,0.1,0.40113732,1.1428209,0,0.018557377,2.1165538,81.92406347,NA,1,EGFR.MTOR_1
HCC1143,EGFR,MTOR_1,1,0.1,0.724552965,0.6434813,0,0.001838935,3.5411372,65.02168211,NA,1,EGFR.MTOR_1
HCC1187,EGFR,MTOR_1,1,0.1,0.26415045,10,12.69916384,1,0,100,NA,1,EGFR.MTOR_1
HCC1395,EGFR,MTOR_1,1,0.1,0.321745876,0.9020086,26.76445828,0.010933666,10,91.04995874,NA,1,EGFR.MTOR_1
HCC1428,EGFR,MTOR_1,1,0.1,0.562054815,1.2425354,35.8530317,1,0,100,NA,1,EGFR.MTOR_1
HCC1806,EGFR,MTOR_1,1,0.1,0.178294434,1.7153417,12.98725036,1,0,100,NA,1,EGFR.MTOR_1
HCC1937,EGFR,MTOR_1,1,0.1,1,0.8455137,49.5064664,0.1,0.3527218,51.89431827,NA,1,EGFR.MTOR_1
HCC38,EGFR,MTOR_1,1,0.1,1,10,45.60004249,1,0,100,NA,1,EGFR.MTOR_1
HCC70,EGFR,MTOR_1,1,0.1,0.283814994,10,36.39945571,1,0,100,NA,1,EGFR.MTOR_1
MDA-MB-157,EGFR,MTOR_1,1,0.1,0.838968325,0.4578294,0,0.012594285,10,83.39891042,NA,1,EGFR.MTOR_1
MDA-MB-231,EGFR,MTOR_1,1,0.1,0.291400044,1.3143001,32.98816493,1,0,100,NA,1,EGFR.MTOR_1
MDA-MB-436,EGFR,MTOR_1,1,0.1,0.143154559,1.3380325,20.95164478,0.1,1.085127,56.13927046,NA,1,EGFR.MTOR_1
MDA-MB-453,EGFR,MTOR_1,1,0.1,0.204519003,3.5658541,11.17455703,0.014112467,1.4581248,43.25399761,NA,1,EGFR.MTOR_1
MDA-MB-468,EGFR,MTOR_1,1,0.1,0.314271034,10,81.59982106,0.055658447,0.9061828,65.40073482,NA,1,EGFR.MTOR_1
MFM-223,EGFR,MTOR_1,1,0.1,0.402167561,0.715558,0,0.1,0.1147108,72.62894969,NA,1,EGFR.MTOR_1
M14,EGFR,MTOR_1,1,0.1,0.30413949,5.6094986,56.9458443,0.017554622,2.4504637,49.96657615,NA,1,EGFR.MTOR_1
BT-20,EGFR,PIK3CB_PIK3CD,1,0.1,1,0.4630366,61.73776107,0.1,0.403917,44.90389314,NA,1,EGFR.PIK3CB_PIK3CD
BT-549,EGFR,PIK3CB_PIK3CD,1,0.1,0.592851254,0.4481592,0,0.1,0.6281809,79.06481416,NA,1,EGFR.PIK3CB_PIK3CD
CAL-120,EGFR,PIK3CB_PIK3CD,1,0.1,1,0.5297392,19.78151853,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
CAL-148,EGFR,PIK3CB_PIK3CD,1,0.1,0.503983392,1.6201613,0,0.002013197,0.8573551,84.56905945,NA,1,EGFR.PIK3CB_PIK3CD
CAL-51,EGFR,PIK3CB_PIK3CD,1,0.1,1,0.2661897,78.69884652,0.1,0.5865773,86.0493037,NA,1,EGFR.PIK3CB_PIK3CD
CAMA-1,EGFR,PIK3CB_PIK3CD,1,0.1,0.25789113,0.8613268,0,0.1,0.2450773,86.54638943,NA,1,EGFR.PIK3CB_PIK3CD
HCC1143,EGFR,PIK3CB_PIK3CD,1,0.1,0.413967419,0.5549157,39.17364383,0.004677752,0.3885002,49.25176784,NA,1,EGFR.PIK3CB_PIK3CD
HCC1187,EGFR,PIK3CB_PIK3CD,1,0.1,0.308143106,10,70.69976891,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
HCC1395,EGFR,PIK3CB_PIK3CD,1,0.1,0.045653575,0.6714763,61.48818216,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
HCC1428,EGFR,PIK3CB_PIK3CD,1,0.1,1,0,100,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
HCC1806,EGFR,PIK3CB_PIK3CD,1,0.1,1,10,94.00024535,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
HCC1937,EGFR,PIK3CB_PIK3CD,1,0.1,1,0.5029294,46.36168572,0.1,0.259074,63.46844351,NA,1,EGFR.PIK3CB_PIK3CD
HCC38,EGFR,PIK3CB_PIK3CD,1,0.1,1,1.3810818,52.36617413,0.001058548,10,87.54995772,NA,1,EGFR.PIK3CB_PIK3CD
HCC70,EGFR,PIK3CB_PIK3CD,1,0.1,0.152925038,1.134842,0,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
Hs-578-T,EGFR,PIK3CB_PIK3CD,1,0.1,1,0.8207944,42.54752671,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
MDA-MB-157,EGFR,PIK3CB_PIK3CD,1,0.1,0.975831128,0.4594383,12.10857354,1e-05,0.1,89.36535113,NA,1,EGFR.PIK3CB_PIK3CD
MDA-MB-231,EGFR,PIK3CB_PIK3CD,1,0.1,1,0.8139881,74.5235616,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
MDA-MB-436,EGFR,PIK3CB_PIK3CD,1,0.1,0.177117229,1.3104783,73.35242147,1,0,100,NA,1,EGFR.PIK3CB_PIK3CD
MDA-MB-453,EGFR,PIK3CB_PIK3CD,1,0.1,0.20184839,1.4165759,31.29275221,0.018011545,1.3528596,46.5124315,NA,1,EGFR.PIK3CB_PIK3CD
MDA-MB-468,EGFR,PIK3CB_PIK3CD,1,0.1,0.332673038,10,73.6995625,0.026319184,0.5530269,62.63949024,NA,1,EGFR.PIK3CB_PIK3CD
MFM-223,EGFR,PIK3CB_PIK3CD,1,0.1,1e-04,0.1,63.70267035,0.002190321,0.9811958,87.48114912,NA,1,EGFR.PIK3CB_PIK3CD
M14,EGFR,PIK3CB_PIK3CD,1,0.1,0.349863333,2.0676263,24.87398003,0.04025025,2.0683911,54.3055444,NA,1,EGFR.PIK3CB_PIK3CD
BT-474,AKT_PIK3C,EGFR_2,1,1,0.166474966,1.3228015,6.79408247,1,0,100,NA,1,AKT_PIK3C.EGFR_2
MDA-MB-361,AKT_PIK3C,EGFR_2,1,1,0.150545551,2.3721469,80.8965599,1,0,100,NA,1,AKT_PIK3C.EGFR_2
BT-474,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.16415386,1.2050556,5.06377799,0.416102427,10,91.79872388,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
HCC1419,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.35756186,10,65.39881151,1,10,69.40001175,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
HCC1500,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.037184744,1.8053442,92.38370442,0.043238007,1.9423279,0,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
MCF7,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.174433249,2.983051,91.35958965,1,0.4340718,82.89767936,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
MDA-MB-361,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.187912683,1.2043651,71.29786308,1,1.0369821,51.39045893,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
T47D,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.115379241,10,88.59967503,1,0,100,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
UACC-812,BCL2_BCL2L1_BCL2L2,EGFR_2,1,1,0.026234454,10,39.69986434,0.215201274,2.1217898,75.11919136,NA,1,BCL2_BCL2L1_BCL2L2.EGFR_2
BT-474,BRAF_VEGFR2,EGFR_2,1,1,0.167011615,1.1437775,3.94681447,0.109842831,10,71.89946191,NA,1,BRAF_VEGFR2.EGFR_2
CAMA-1,BRAF_VEGFR2,EGFR_2,1,1,1,0,100,0.176890323,10,87.580947,NA,1,BRAF_VEGFR2.EGFR_2
HCC1500,BRAF_VEGFR2,EGFR_2,1,1,0.010415035,2.7017553,93.22915047,0.714619923,1.3392801,0,NA,1,BRAF_VEGFR2.EGFR_2
MCF7,BRAF_VEGFR2,EGFR_2,1,1,1,0,100,0.995609057,10,0,NA,1,BRAF_VEGFR2.EGFR_2
MDA-MB-361,BRAF_VEGFR2,EGFR_2,1,1,1,0.6352941,50.51192573,0.309979517,10,85.19987262,NA,1,BRAF_VEGFR2.EGFR_2
T47D,BRAF_VEGFR2,EGFR_2,1,1,0.208017853,1.9217443,87.89149551,0.097525027,1.3389767,80.83300972,NA,1,BRAF_VEGFR2.EGFR_2
UACC-812,BRAF_VEGFR2,EGFR_2,1,1,0.022794965,3.0004923,35.64567635,0.332932653,10,88.49979252,NA,1,BRAF_VEGFR2.EGFR_2
BT-474,EGFR_2,HSP90,1,1,0.041534137,2.3801909,5.59530644,0.153256942,1.4450483,9.74509079,NA,1,EGFR_2.HSP90
CAMA-1,EGFR_2,HSP90,1,1,0.043070035,4.7516677,24.18889649,0.043519381,2.7818067,79.36220962,NA,1,EGFR_2.HSP90
HCC1500,EGFR_2,HSP90,1,1,0.073385395,3.1154929,0,1,10,89.60003788,NA,1,EGFR_2.HSP90
MCF7,EGFR_2,HSP90,1,1,0.035729845,2.9819687,9.58110899,1,0,100,NA,1,EGFR_2.HSP90
MDA-MB-175-VII,EGFR_2,HSP90,1,1,0.056592042,2.2614666,8.6067455,0.161574822,1.6555253,8.3869688,NA,1,EGFR_2.HSP90
MDA-MB-361,EGFR_2,HSP90,1,1,0.105277043,1.7447321,1.20275606,0.225062894,1.2122161,73.91974802,NA,1,EGFR_2.HSP90
T47D,EGFR_2,HSP90,1,1,0.080855836,10,27.79909078,0.345715015,10,48.69874431,NA,1,EGFR_2.HSP90
UACC-812,EGFR_2,HSP90,1,1,0.040269035,10,0,0.022237187,3.5020593,38.78499236,NA,1,EGFR_2.HSP90
BT-474,EGFR_2,MTOR_3,1,1,1e-04,0.1,5.10292959,0.153504126,1.2520643,6.92174563,NA,1,EGFR_2.MTOR_3
CAMA-1,EGFR_2,MTOR_3,1,1,1e-04,0.1,4.81149778,0.366036469,2.0079682,5.9591227,NA,1,EGFR_2.MTOR_3
HCC1500,EGFR_2,MTOR_3,1,1,0.000218517,0.4400467,6.03231064,0.03355242,0.9944679,89.2470908,NA,1,EGFR_2.MTOR_3
MCF7,EGFR_2,MTOR_3,1,1,0.000207242,0.3122719,18.43622612,0.419540652,1.8980586,84.14028404,NA,1,EGFR_2.MTOR_3
MDA-MB-361,EGFR_2,MTOR_3,1,1,1,0.1,21.95468197,0.390781139,0.6705043,61.55129797,NA,1,EGFR_2.MTOR_3
T47D,EGFR_2,MTOR_3,1,1,1e-04,0.1,23.23835814,0.297945499,3.3329018,85.95662709,NA,1,EGFR_2.MTOR_3
UACC-812,EGFR_2,MTOR_3,1,1,1,0,100,0.023824757,3.1990648,34.9526852,NA,1,EGFR_2.MTOR_3
BT-474,EGFR_2,PI3KCD,1,1,1,0.3809058,65.96410511,0.140870439,1.3588941,8.04288947,NA,1,EGFR_2.PI3KCD
HCC1419,EGFR_2,PI3KCD,1,1,1,0,100,0.259102963,4.7518459,63.13996741,NA,1,EGFR_2.PI3KCD
HCC1500,EGFR_2,PI3KCD,1,1,0.329965635,10,84.19975099,0.090446935,1.9806409,89.67349527,NA,1,EGFR_2.PI3KCD
MCF7,EGFR_2,PI3KCD,1,1,1,0,100,1,0,100,NA,1,EGFR_2.PI3KCD
MDA-MB-361,EGFR_2,PI3KCD,1,1,1,0,100,0.184446113,1.7430565,73.0189751,NA,1,EGFR_2.PI3KCD
T47D,EGFR_2,PI3KCD,1,1,1,0,100,0.339754075,10,92.39984135,NA,1,EGFR_2.PI3KCD
UACC-812,EGFR_2,PI3KCD,1,1,1,0,100,0.022345482,3.1343612,37.49951699,NA,1,EGFR_2.PI3KCD
BT-474,EGFR_2,PIK3C_MTOR,1,1,0.145369732,1.7869619,0,0.157900851,1.3473176,8.00251764,NA,1,EGFR_2.PIK3C_MTOR
CAMA-1,EGFR_2,PIK3C_MTOR,1,1,0.204323667,2.5754099,29.96913163,0.020362119,10,94.77629595,NA,1,EGFR_2.PIK3C_MTOR
HCC1419,EGFR_2,PIK3C_MTOR,1,1,0.168266326,3.0545292,19.47146414,0.262016022,10,64.89809297,NA,1,EGFR_2.PIK3C_MTOR
HCC1500,EGFR_2,PIK3C_MTOR,1,1,0.087084346,1.5445981,0,1,0,100,NA,1,EGFR_2.PIK3C_MTOR
MCF7,EGFR_2,PIK3C_MTOR,1,1,0.080499423,1.8728233,2.00978463,1,0,100,NA,1,EGFR_2.PIK3C_MTOR
MDA-MB-175-VII,EGFR_2,PIK3C_MTOR,1,1,0.222557593,3.3295706,7.34775106,0.20083513,2.477977,12.2195203,NA,1,EGFR_2.PIK3C_MTOR
MDA-MB-361,EGFR_2,PIK3C_MTOR,1,1,0.11917611,1.0985494,3.23890733,0.113667288,1.3828484,80.95796267,NA,1,EGFR_2.PIK3C_MTOR
T47D,EGFR_2,PIK3C_MTOR,1,1,0.053663927,1.7155003,57.87489788,0.251807534,10,91.19931599,NA,1,EGFR_2.PIK3C_MTOR
UACC-812,EGFR_2,PIK3C_MTOR,1,1,0.282069541,10,18.99956152,0.026811953,10,35.3332692,NA,1,EGFR_2.PIK3C_MTOR
BT-474,EGFR_2,Proteasome_2,1,1,0.007954477,2.6657193,3.23666819,0.157253539,1.0732289,0.9094243,NA,1,EGFR_2.Proteasome_2
CAMA-1,EGFR_2,Proteasome_2,1,1,0.00162452,1.1863772,10.55926901,1,0,100,NA,1,EGFR_2.Proteasome_2
HCC1419,EGFR_2,Proteasome_2,1,1,0.009169209,1.7599342,8.82236105,0.282592594,10,53.49961945,NA,1,EGFR_2.Proteasome_2
HCC1500,EGFR_2,Proteasome_2,1,1,0.007510175,10,0,1,0,100,NA,1,EGFR_2.Proteasome_2
MCF7,EGFR_2,Proteasome_2,1,1,1e-04,0.5002765,1.40408876,0.47957352,0.6769951,83.60462851,NA,1,EGFR_2.Proteasome_2
MDA-MB-175-VII,EGFR_2,Proteasome_2,1,1,0.011967816,2.50697,4.71226952,0.216865154,2.8191776,4.70362313,NA,1,EGFR_2.Proteasome_2
MDA-MB-361,EGFR_2,Proteasome_2,1,1,1e-04,0.1,18.37482056,0.189028898,2.0407022,71.5708483,NA,1,EGFR_2.Proteasome_2
T47D,EGFR_2,Proteasome_2,1,1,0.008882514,3.0569833,14.85795713,0.452645976,0.671864,73.47892002,NA,1,EGFR_2.Proteasome_2
UACC-812,EGFR_2,Proteasome_2,1,1,0.000204658,9.4592155,0,0.022674735,2.2846685,33.38657598,NA,1,EGFR_2.Proteasome_2
A549,ADAM17,ERBB,3,10,1,0,100,1,0,100,NA,1,ADAM17.ERBB
Calu-6,ADAM17,ERBB,3,10,1.17743888,1.2186472,84.6651034,10,10,77.00002373,NA,1,ADAM17.ERBB
DMS-114,ADAM17,ERBB,3,10,1.410284324,1.4567666,82.7489942,10,0.7412684,86.24122878,NA,1,ADAM17.ERBB
NCI-H1299,ADAM17,ERBB,3,10,1,0,100,1,0,100,NA,1,ADAM17.ERBB
NCI-H1437,ADAM17,ERBB,3,10,3,0.5412138,60.49600152,10,0.4420256,44.22765007,NA,1,ADAM17.ERBB
NCI-H1563,ADAM17,ERBB,3,10,0.046522817,0.6536597,37.71299424,0.082722491,2.0450995,61.201407,NA,1,ADAM17.ERBB
NCI-H1703,ADAM17,ERBB,3,10,2.084351602,1.3393693,0,2.935257477,0.6956975,91.62500368,NA,1,ADAM17.ERBB
NCI-H1793,ADAM17,ERBB,3,10,1.688939267,0.1802418,0,0.064802294,1.5920359,73.92134036,NA,1,ADAM17.ERBB
