#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
SN-38	gefitinib	-100104842	-100123631	104842	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.421
irinotecan	FOLFOX	-100003750	-156842121	3750	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.767	0.767
cisplatin	temsirolimus	-100002767	-100148191	2767	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.420
everolimus	AZD8055	-106442177	-125001065	6442177	25001065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.486	0.486
bortezomib	temsirolimus	-100093860	-100148191	93860	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.685
EGFR	saracatinib	980366	-110302451	ENSP00000275493	10302451	0.000	0.000	0.000	0.000	0.000	0.397	0.000	0.183	0.492
KDR	CC 243	979279	-111213558	ENSP00000263923	11213558	0.000	0.000	0.000	0.000	0.000	0.820	0.000	0.000	0.820
paclitaxel	vandetanib	-100004666	-103081361	4666	3081361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.664	0.664
TYMS	5-FU	984083	-100003385	ENSP00000315644	3385	0.000	0.000	0.000	0.000	0.000	0.750	0.900	0.994	0.999
ESR1	bortezomib	976039	-100093860	ENSP00000206249	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.819	0.819
irinotecan	paclitaxel	-100003750	-100004666	3750	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.941	0.941
EGFR	docetaxel	980366	-100003143	ENSP00000275493	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.615	0.960
etoposide	tamoxifen	-100003310	-100005376	3310	5376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.520	0.520
EGFR	4-hydroxytamox.	980366	-100063062	ENSP00000275493	63062	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.272	0.775
EGFR	vandetanib	980366	-103081361	ENSP00000275493	3081361	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.876	0.997
ESR1	doxorubicin	976039	-100001690	ENSP00000206249	1690	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.609	0.609
temsirolimus	cediranib	-100148191	-109933475	148191	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.620
paclitaxel	vinorelbine	-100004666	-100005672	4666	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.995	0.995
gemcitabine	SN-38	-100003461	-100104842	3461	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.534
temsirolimus	vandetanib	-100148191	-103081361	148191	3081361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.559	0.559
docetaxel	irinotecan	-100003143	-100003750	3143	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.897	0.897
ESR2	EGFR	987437	980366	ENSP00000343925	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.461
MET	gefitinib	984251	-100123631	ENSP00000317272	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.430
temsirolimus	everolimus	-100148191	-106442177	148191	6442177	0.000	0.000	0.000	0.981	0.000	0.000	0.000	0.934	0.980
docetaxel	paclitaxel	-100003143	-100004666	3143	4666	0.000	0.000	0.000	0.856	0.000	0.000	0.000	0.999	0.999
docetaxel	everolimus	-100003143	-106442177	3143	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.424	0.424
irinotecan	vinorelbine	-100003750	-100005672	3750	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.812	0.812
ESR2	tamoxifen	987437	-100005376	ENSP00000343925	5376	0.000	0.000	0.000	0.000	0.000	0.800	0.900	0.926	0.998
everolimus	cediranib	-106442177	-109933475	6442177	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.510	0.510
gefitinib	crizotinib	-100123631	-111597571	123631	11597571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.549	0.549
docetaxel	topotecan	-100003143	-100005515	3143	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.842	0.842
tamoxifen	olaparib	-100005376	-123725625	5376	23725625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.465	0.465
afatinib	crizotinib	-110163178	-111597571	10163178	11597571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.421
EGFR	gefitinib	980366	-100123631	ENSP00000275493	123631	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.965	0.999
gemcitabine	FOLFOX	-100003461	-156842121	3461	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.589	0.589
doxorubicin	FOLFIRI	-100001690	-156842117	1690	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.498	0.498
GDC-0941	MK-2206	-117755052	-124964624	17755052	24964624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.474	0.473
5-FU	paclitaxel	-100003385	-100004666	3385	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.961	0.961
paclitaxel	bortezomib	-100004666	-100093860	4666	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.733	0.733
etoposide	SN-38	-100003310	-100104842	3310	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.581
docetaxel	CC49	-100003143	-110127622	3143	10127622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.405	0.405
DCK	gemcitabine	981000	-100003461	ENSP00000286648	3461	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.979	0.999
gemcitabine	FOLFIRI	-100003461	-156842117	3461	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.460
doxorubicin	5-FU	-100001690	-100003385	1690	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.975	0.975
enzastaurin	cediranib	-100176166	-109933475	176166	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.479	0.479
KDR	ESR1	979279	976039	ENSP00000263923	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.461
doxorubicin	gefitinib	-100001690	-100123631	1690	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.680	0.680
MK-2206	AZD8055	-124964624	-125001065	24964624	25001065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.489	0.489
DPYD	5-azacytidine	990069	-100001805	ENSP00000359211	1805	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.700
EGFR	bortezomib	980366	-100093860	ENSP00000275493	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.846	0.846
5-FU	gefitinib	-100003385	-100123631	3385	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.563
ABCG2	SN-38	977147	-100104842	ENSP00000237612	104842	0.000	0.000	0.000	0.000	0.000	0.689	0.000	0.905	0.969
gemcitabine	everolimus	-100003461	-106442177	3461	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.425	0.425
EGFR	afatinib	980366	-110163178	ENSP00000275493	10163178	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.543	0.995
CAL-101	GDC-0941	-111625818	-117755052	11625818	17755052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.486	0.486
5-azacytidine	gemcitabine	-100001805	-100003461	1805	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.709	0.709
gemcitabine	irinotecan	-100003461	-100003750	3461	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.807	0.807
EGFR	CC 243	980366	-111213558	ENSP00000275493	11213558	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.000	0.800
ESR2	ESR1	987437	976039	ENSP00000343925	ENSP00000206249	0.000	0.000	0.000	0.925	0.000	0.981	0.900	0.980	0.998
ESR2	4-hydroxytamox.	987437	-100063062	ENSP00000343925	63062	0.000	0.000	0.000	0.000	0.000	0.900	0.700	0.464	0.982
paclitaxel	FOLFOX	-100004666	-156842121	4666	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.642
TOP1	topotecan	989008	-100005515	ENSP00000354522	5515	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.949	0.999
gemcitabine	gefitinib	-100003461	-100123631	3461	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.724	0.724
irinotecan	vandetanib	-100003750	-103081361	3750	3081361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.541
TOP1	etoposide	989008	-100003310	ENSP00000354522	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.912	0.912
paclitaxel	ICI 182,780	-100004666	-100104741	4666	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.532
gemcitabine	topotecan	-100003461	-100005515	3461	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.758	0.758
TOP1	EGFR	989008	980366	ENSP00000354522	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.435	0.435
cisplatin	FOLFIRI	-100002767	-156842117	2767	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.485
etoposide	irinotecan	-100003310	-100003750	3310	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.745	0.745
idoxifene	ICI 182,780	-100071331	-100104741	71331	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.545	0.545
ABCG2	ICI 182,780	977147	-100104741	ENSP00000237612	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
temsirolimus	CC49	-100148191	-110127622	148191	10127622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.466
DCK	5-azacytidine	981000	-100001805	ENSP00000286648	1805	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.911	0.911
paclitaxel	temsirolimus	-100004666	-100148191	4666	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.727
ABCG2	doxorubicin	977147	-100001690	ENSP00000237612	1690	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.829	0.964
docetaxel	SN-38	-100003143	-100104842	3143	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.577	0.577
cisplatin	gemcitabine	-100002767	-100003461	2767	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.936	0.936
MET	tivantinib	984251	-111494412	ENSP00000317272	11494412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.862	0.862
TOP1	ESR1	989008	976039	ENSP00000354522	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.341	0.508
ABCG2	paclitaxel	977147	-100004666	ENSP00000237612	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.150	0.850	0.869
cisplatin	gefitinib	-100002767	-100123631	2767	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.724	0.724
