BTG2	SESN1
EHMT2	LY6G5B
EHMT2	TRIM27
EIF2B1	GPN3
CYC1	EIF2C2
EIF2C2	RAD21
EIF2S3	MBTPS2
DDX56	EIF3B
EIF3B	HEATR2
EIF3B	TBRG4
EIF3H	UBR5
EIF3K	EXOSC5
EIF3K	RPS11
EIF5	ZFYVE21
ELAVL1	HNRNPM
C1orf106	ELF3
ASNA1	ELOF1
ELOF1	FARSA
ELOVL1	PLEC
BIN3	ELP3
CNOT7	ELP3
ELP3	TRIM35
EMD	IDH3G
EML3	MAP3K11
EMP1	FHL2
EMP1	HEBP1
EMP1	RAB11FIP5
EMP1	TNFRSF1A
ENO1	TMED5
ENO2	STX2
ENOPH1	HNRNPD
ENY2	HRSP12
EPAS1	LAPTM4A
EPHA1	TINAGL1
EGFR	EPHB2
C1orf116	EPN3
EPN3	LAMA5
EPS15L1	TNPO2
EPS8	TWF1
ERBB2	SLC16A5
ERCC8	SKIV2L2
ERGIC2	STRAP
ERGIC3	PIGT
ERLIN1	VPS26A
ESPL1	RACGAP1
ESPL1	SENP1
ESR1	GCM2
ESRP1	KCNK1
ESRP1	MAL2
ESRP1	S100A14
CDH3	ESRP2
CCNE2	EXO1
EXO1	KIF14
DHRS7	EXOC5
EXOG	RBM5
EXOG	WDR48
CWF19L1	EXOSC1
CENPE	EXOSC9
EXOSC9	MAD2L1
EFEMP1	EXT1
DNAJC8	EYA3
EZH1	SYNRG
EZH2	LUC7L2
EZH2	ZNF212
C1orf106	F11R
CD2AP	F11R
F11R	GRHL2
EGFR	F3
F3	GBP3
FAF1	ITGB3BP
FAM173A	MPG
FAM173A	STUB1
CLK4	FAM193B
FAM193B	MAPK8IP3
FAM3A	IKBKG
FAM58A	NSDHL
BUD13	FAM76B
FAM76B	HINFP
ANXA9	FAM83H
CGN	FAM83H
F11R	FAM83H
EVPL	FAM84B
FAM91A1	RNF139
FANCG	VCP
CCNB2	FANCI
FANCI	RFC4
FANCL	MSH2
FANCM	L2HGDH
ATP13A1	FARSA
FARSA	ILF3
FARSA	PIN1
FARSA	TNPO2
FARSA	UPF1
FASTK	GNB2
FASTKD2	HSPE1
FASTKD3	MTRR
FASTKD5	ITPA
FBL	MCM2
FBL	PRMT1
FBL	RUVBL2
FBRS	PRR14
FBRS	SETD1A
FBRS	ZNF646
FBRS	ZNF768
FBXL18	RAC1
FBXL19	FUS
FBXL6	RECQL4
ATP5C1	FBXO18
FBXO18	KIN
FBXO28	HRSP12
FBXO46	VRK3
EDF1	FBXW5
FCAR	HAMP
FCAR	KLK2
FCAR	LILRB3
ASNA1	FDX1L
FDXACB1	HMBS
CLDN4	FERMT1
FERMT1	KLF5
ACTN1	FERMT2
EML1	FERMT2
C6	FETUB
CDS1	FGFBP1
FH	HRSP12
FHL2	RALB
FIZ1	TRIM28
ATP13A1	FKBP8
FKBP8	PRKCSH
FLAD1	NDUFS2
FLJ23867	S100A16
AMOTL2	FNDC3B
FNDC3B	IL1R1
FNDC3B	LEPREL1
FNDC3B	OSMR
FNDC3B	TNFRSF1A
FNTA	GOLGA7
FNTA	THAP1
FNTA	UBE2V2
FNTA	VDAC3
CD59	FOSL1
FOXA1	GPX2
FOXJ3	GPBP1L1
E2F1	FOXM1
ASF1A	FOXO3
ACAD8	FOXRED1
FOXRED2	L3MBTL2
DCBLD2	FSTL1
CNPY3	FTSJD2
FUBP1	PTBP2
FUBP1	SFPQ
FXR2	RNF167
EPS8L1	FXYD3
FXYD3	STX19
ARFGEF1	FZD6
DLG1	FZD6
FZR1	RNF126
G3BP2	LARP7
G3BP2	RCHY1
AQR	GABPB1
GABPB1	RFX7
GADD45GIP1	NDUFA11
GADD45GIP1	NDUFB7
GATAD1	KRIT1
GATAD2B	MDM4
GATC	RFC5
GATC	SNRPF
BCAR3	GBP3
EGFR	GBP3
GCDH	GTPBP3
GCFC1	HMGN1
ARPC5	GDE1
GDE1	IARS2
FAM50A	GDI1
GDI2	RAB23
GDI2	SRP9
GEMIN6	MRPS7
BCL2L12	GEMIN7
AMDHD2	GFER
GFER	MLST8
GFM2	TAF9
GFPT2	OSMR
GGA1	L3MBTL2
GGA1	TRMT2A
GGA3	TAOK1
CRP	GH2
GIN1	PRKAA1
GIN1	YAF2
BUB1	GINS1
CCNE2	GINS1
GINS1	MYBL2
GINS1	UBE2C
GIPC1	NR2F6
GIT1	TCAP
GIT1	USP36
CLDN1	GJB3
GLE1	POLE3
GLE1	SPTLC1
GLMN	RPAP2
GLP1R	SLC22A7
ALDH18A1	GLRX3
CWF19L1	GLRX3
DDX24	GLRX5
GLRX5	PAPOLA
GLTSCR2	MZF1
GLTSCR2	SNRPA
GLTSCR2	VRK3
GLUD1	PPA1
GMNN	MDC1
GMNN	PARP1
GNA11	ZNF358
GNAI3	ILF2
GNAI3	RWDD3
GNB2L1	NOP16
F3	GNG12
GNG12	LEPROT
GNG12	NOTCH2
GNL1	MRPL2
GNL2	PPIH
FH	GNPAT
GNPDA1	MGAT4B
ATP6V1C1	GNS
DAB2	GNS
GNS	ITFG1
GNS	SQSTM1
ASH2L	GOLGA7
GPATCH1	STRN4
EXOC5	GPHN
CCDC59	GPN3
GPS1	MRPS7
GPS2	PHF23
AIF1	GPSM3
GLT8D2	GPX8
GPX8	NUAK1
GPX8	PAM
GPX8	SNX24
GPX8	TGFBI
GPX8	TNFRSF1A
EGFR	GRAMD3
ERBB2	GRB7
GRB7	GRHL2
GRB7	ITGB4
GRHL2	ITGB4
GRHL2	S100A14
GRHL2	STX19
CLDN4	GRTP1
GRTP1	KLF5
GSPT1	USP7
GSTK1	SLC12A9
CSNK1G2	GTF2F1
GTF2F1	KHSRP
GTF2F1	POLR2E
CAPRIN1	GTF2H1
GTF2H1	PSMC3
E4F1	GTF3C1
GTF3C1	ZNF500
CWC22	GTF3C3
GTF3C3	PMS1
GTF3C3	RAB1A
GTPBP1	TRMT2A
GTPBP3	ILF3
GTPBP4	SUV39H2
GTPBP4	UPF2
GTSE1	KIAA1524
GTF2I	H2AFV
H2AFX	MLL
H3F3B	TIA1
CCDC138	HAT1
HAT1	MSH6
HAT1	PNO1
HAUS1	TXNL1
C14orf93	HAUS4
HAUS5	LIG1
HAUS5	MAP4K1
HAUS5	MCM3
HAUS5	POLQ
HAUS6	PSIP1
EMD	HAUS7
HAUS8	MED26
HBP1	UBE2H
HCCS	MBTPS2
HDDC3	MRPL46
HDGFRP2	PIN1
HDHD2	TXNL1
HEG1	OSMR
DAB2	HEXB
HEXB	IL6ST
HEXB	MGAT4B
HEXDC	MBTD1
GGA3	HGS
HGS	SLC38A10
HAMP	HHLA2
HIST1H2AE	HIST1H2AK
HIST1H2AE	HIST1H2AM
HIST1H1C	HIST1H2BD
HIST1H1C	HIST1H2BE
HIST1H2BE	HIST1H3E
HIST1H1C	HIST1H2BF
HIST1H2BF	HIST1H3E
HIST1H1C	HIST1H2BG
HIST1H1C	HIST1H2BH
HIST1H1C	HIST1H2BI
HIST1H3B	HIST1H4F
HIST1H3D	HIST1H3E
HIST1H2AJ	HIST1H4A
HIST1H3E	HIST1H4A
HIST1H3I	HIST1H4A
HIST1H3J	HIST1H4A
HIST1H4A	HIST1H4B
HIST1H4A	HIST1H4D
HIST1H4A	HIST1H4F
HIST1H4A	HIST1H4I
HIST1H4A	HIST1H4L
HIST1H3E	HIST1H4E
HIST1H4E	HIST1H4F
HIST1H1C	HIST1H4H
HIST1H3E	HIST1H4H
HLA-DOA	SLC22A7
HLA-E	TAP2
HLA-F	HLA-G
HMBS	SLC37A4
CTCF	HMGB1
GTF3A	HMGB1
HMGB1	MYBL2
CDC25C	HMMR
HNF4A	TSPO2
HNRNPA0	LMNB1
HNRNPA2B1	TPX2
C14orf166	HNRNPC
EXOC5	HNRNPC
CENPE	HNRNPD
GDI2	HNRNPF
HNRNPH3	KIF11
AKAP8	HNRNPM
CHAF1A	HNRNPM
HNRNPM	NUP62
HNRNPM	POLD1
GRWD1	HNRNPUL1
HNRNPUL1	SAE1
HNRNPUL1	SPHK2
HNRNPUL1	TACR1
HNRNPUL1	ZNF611
HNRNPD	HNRPDL
HOXA10	HOXA9
GH1	HOXB1
HOXB5	HOXB7
HOXC10	HOXC9
HOXC6	HOXC8
HOXC8	HOXC9
FOXN4	HRH3
C20orf30	HRSP12
HRSP12	SRP9
HSF1	RECQL4
GMIP	HSH2D
HSP90AB1	SLC29A1
HSPA14	NUDT5
HSPA4	RAD50
HSPA4	TTC37
HSPA4	YAF2
HSPBP1	TRIM28
HEBP1	HTR7P1
HUS1	YKT6
FH	IARS2
IARS2	KLHL12
IARS2	MRPL13
IER3IP1	TXNL1
IGFBP3	OSMR
C1R	IGFBP6
IGSF9	MAL2
IKZF5	NSMCE4A
IL13RA1	PLS3
CXorf65	IL2RG
IL12B	IL3
IL3	SIGLEC8
ARFGEF1	ILF2
BRIX1	ILF2
CCT5	ILF2
HRSP12	ILF2
ILF2	MRPL13
ILF2	POLR3C
ILF2	RCOR3
ILF2	TAF1A
ILF3	RAVER1
ILF3	SNRPA
INADL	TACSTD2
ING1	TFDP1
ING3	LUC7L2
INHBA	OSMR
INO80E	PRR14
BRD9	INTS1
HMBOX1	INTS10
INTS12	USO1
COIL	INTS2
INTS5	MAP3K11
INTS5	SF1
IQCE	RAC1
IDH3G	IRAK1
IKBKG	IRAK1
IREB2	RFX7
IREB2	SLTM
IRF2BP1	SPHK2
IRF6	SOX13
IRF9	PSME1
IRX3	IRX5
ISCA1	SPTLC1
ISG20L2	MRPL9
DNAJB6	ITCH
ITCH	TBL1XR1
ITCH	UBE2H
ITFG1	MBTPS1
ITGA3	PTRF
ITGAL	TPSAB1
CDC7	ITGB3BP
ITGB3BP	PRPF38A
ITGB5	NCEH1
JAGN1	THUMPD3
JTB	MRPL9
GRB7	JUP
KARS	NAE1
KBTBD6	KBTBD7
KCNJ5	SLC22A6
AXIN1	KCTD13
KCTD13	ZNF668
KCTD2	RECQL5
KCTD20	RAB23
CALU	KDELR2
KDELR2	OSMR
CDK2AP2	KDM2A
KDM2A	PTPRCAP
KDM6B	WRAP53
KHDRBS2	MYH7
CSNK1G2	KHSRP
HNRNPM	KHSRP
ILF3	KHSRP
KIAA0195	RECQL5
KIAA0664	MINK1
KIAA0664	RNF167
KIAA1279	MARCH5
EGFR	KIAA1522
INADL	KIAA1522
KIAA1522	RHBDL2
KIAA1522	SLC2A1
KIAA1522	TINAGL1
CNOT7	KIAA1967
AK3	KIAA2026
KIAA2026	PSIP1
KIF1B	RNF11
KIF1B	SKI
KIF1C	MINK1
CDC25C	KIF20A
HMMR	KIF20A
CWC27	KIF2A
FAF1	KIF2C
KHDRBS1	KIF2C
KIF2C	PPIH
E2F3	KIFC1
KIFC1	TUBB
KIR2DL1	KIR2DL3
KIR2DL3	KIR2DL4
KLC3	KLK5
AHR	KLF5
ID1	KLF5
KLK10	KLK11
KLK10	KLK7
KLK10	KLK8
KLK10	KLK9
KLK5	KLK6
EPS8L1	KLK6
KLK6	KLK7
KLK8	KLK9
ESPL1	KNTC1
KNTC1	NFYB
KNTC1	SBNO1
ASF1A	KPNA5
KPTN	STRN4
AKAP8L	KRI1
C19orf43	KRI1
HNRNPM	KRI1
KRIT1	PEX1
KRIT1	ZKSCAN5
ITGB4	KRT19
JUP	KRT19
ACO2	L3MBTL2
L3MBTL2	TRMT2A
LAMA5	SLPI
CALU	LAMB1
ASPH	LAMC1
LAMC1	NOTCH2
EPCAM	LAMC2
F11R	LAMC2
ASAP2	LAPTM4A
FBXO18	LARP4B
LARP4B	MLLT10
C4orf21	LARP7
CCNG2	LARP7
HMGN1	LARP7
INTS12	LARP7
LARP7	NUP54
LARP7	RAB28
ABCC3	LASP1
LATS1	NUP43
LCP2	PKD2L2
LEMD3	ZBTB39
AIF1	LENEP
AQR	LEO1
LEPREL1	PPP2R3A
EGFR	LEPROT
LEPROT	NOTCH2
LEPROT	PIGK
ATP6V1B2	LEPROTL1
ABCC3	LGALS3BP
LILRA1	LILRB1
KIR2DL1	LILRA2
KLK2	LILRA2
LILRA2	LILRB1
LIMD2	MAP3K3
CPSF1	LIME1
LIN37	POLR2I
LIN37	U2AF1L4
FXYD3	LIPH
EPCAM	LLGL2
CCT2	LLPH
LOC100128822	MLL3
BCL2	LOC400657
ERI2	LOC81691
KIF14	LOC81691
LOC81691	NEK2
LOXL2	MYBL1
AMOTL2	LPP
CD63	LPP
EMP1	LPP
LPP	OSMR
LPP	WWTR1
HIPK1	LRIG2
LRP10	SERPINB6
AKT3	LRP12
DDR1	LRRC16A
LRRC37A3	SMARCE1
LSG1	MRPL47
LSM14A	MSL2
LSM14A	ZNF146
CNOT10	LSM3
LSM3	MRPS25
LSM3	THUMPD3
LSM7	RNF126
LSMD1	WRAP53
GPRC5A	LSR
LSR	STX19
ANXA4	LTBR
GPRC5A	LTBR
HEBP1	LTBR
CBLL1	LUC7L2
LUC7L2	ZNF212
DCAF7	LUC7L3
LY6K	OSMR
AIF1	LY86
LZTR1	TRMT2A
AGR2	MACC1
CDH1	MACC1
CLDN4	MACC1
CPSF1	MAF1
LEP	MAG
MAGOH	PPIH
MAK16	UBXN8
ANXA9	MAL2
ELF3	MAL2
KCNK1	MAL2
LAD1	MAL2
FLNA	MAMLD1
ATP13A1	MAN2B1
MANBAL	RIN2
ATP13A1	MAP1S
MAP1S	PGLS
MAP1S	RAVER1
GLOD4	MAP2K4
MAP2K4	PRPSAP2
FAM89B	MAP3K11
MAP3K11	PITPNM1
MAP4K5	MNAT1
MAPK1	UFD1L
MAPK8IP3	USP7
CANX	MAPK9
CCT5	MAPRE1
CPNE1	MAPRE1
DNAJB6	MAPRE1
MAPRE1	RPS6KB1
ERLIN1	MARCH5
BCS1L	MARS2
HNRNPH1	MATR3
MATR3	PPWD1
MATR3	RIOK2
MAZ	MLST8
HDHD2	MBD1
CDC34	MBD3
DNM2	MBD3
MBD3	MLLT1
MBD3	NCLN
MBD3	PIAS4
MBD3	PIP5K1C
MBD3	POLD1
MBD3	POLR2E
MBD3	RNF126
MBD3	SLC39A3
MBD3	USF2
MBD4	SNX4
MBTD1	POU2F1
MBTD1	PPM1D
MBTD1	ZNF397
DNAJA2	MBTPS1
GMNN	MCM10
KIF11	MCM10
MCM10	MCM3
MCM10	TRA2B
MCM2	RAD54L
L3MBTL2	MCM5
MCM5	TRMT2A
CASP2	MCM7
LUC7L2	MCM7
CNOT7	MCPH1
HMBOX1	MCPH1
MCPH1	WRN
MCRS1	TROAP
MDC1	PARP1
HSPD1	MDH1
MDM4	PDE7A
MDM4	RAB3GAP2
MDM4	TOMM20
HDHD2	ME2
ME2	TXNL1
MEAF6	SNIP1
DDX42	MED1
MED1	POU2F1
DCAF7	MED13
MED15	TRMT2A
CDC34	MED16
KDM4B	MED16
MED16	NCLN
MED16	PIP5K1C
MED16	POLRMT
MED16	UPF1
MED17	TMEM126B
MED18	TAF12
ATP6V1C1	MED21
CMAS	MED21
MED21	TBL1XR1
GTPBP3	MED26
ILF3	MED26
MED26	RAB8A
MED26	RAVER1
MED26	TNPO2
MED4	RB1
C14orf166	MED6
MED6	PAPOLA
HSPA4	MED7
MED7	RNF14
MELK	VCP
MEN1	UBXN1
GPRC5A	MET
MET	PRKAG2
MET	UBE2H
FANCM	METTL3
DYNC1LI1	METTL6
DCUN1D1	MFN1
DNAJC10	MFN1
ITCH	MFN1
MFN1	SENP2
MFN1	TFG
MFSD5	SQSTM1
MGAT4B	TBC1D9B
MGC16275	TAOK1
BCKDK	MGRN1
DNASE1L2	MGRN1
FAM193B	MGRN1
MGRN1	ZNF500
MIB1	ZNF24
MICB	TAP1
CDC34	MIER2
MIER2	PIP5K1C
KIF20B	MKI67
MKKS	NAA20
CNOT4	MKLN1
LUC7L2	MKLN1
DYNC1LI1	MKRN2
LSM3	MKRN2
MKRN2	NR2C2
CCDC12	MLH1
DYNC1LI1	MLH1
MLL2	SUDS3
EZH2	MLL3
MLL3	ZNF212
KRIT1	MLL5
MMADHC	RALB
MMADHC	UBXN4
MNAT1	PAPOLA
MINK1	MNT
MOCS3	OSGEPL1
MORF4L2	PSMD10
MOSPD3	TAF6
MPHOSPH8	MYCBP2
MRE11A	ZBTB44
AATF	MRM1
CCT5	MRPL13
DSCC1	MRPL13
MAPRE1	MRPL13
MRPL13	PRKDC
MRPL13	PSMD12
MRPL13	SDHC
MRPL13	UBE2V2
COPS5	MRPL15
FAM54A	MRPL18
FBXO5	MRPL18
MRPL18	RNF146
MRPL20	PARK7
MRPL21	WDR74
DNM1L	MRPL3
MRPL3	PSMD12
ATP13A1	MRPL34
GTPBP3	MRPL34
ATP13A1	MRPL4
FARSA	MRPL4
GTPBP3	MRPL4
MRPL4	MRPS12
MRPL4	RAVER1
MRPL42	STRAP
MRPL54	RNF126
DDX56	MRPS17
MRPS17	POP7
MRPS17	PSMG3
MRPS17	UBE2H
HNRNPD	MRPS18C
GTF3C4	MRPS2
CCDC12	MRPS25
MRPS25	RPL15
ITPA	MRPS26
MRPS26	NXT1
MAPRE1	MRPS28
FAM48A	MRPS31
MED4	MRPS31
MRPS31	SLC25A15
FIS1	MRPS33
CCNF	MRPS34
E4F1	MRPS34
MRPS36	TAF9
MRPS7	NME2
MRPS7	TACO1
MRPS7	TK1
ACP1	MSH2
CREB1	MSH2
MSH2	RPIA
MSL2	TBL1XR1
ABLIM3	MT2A
MARK3	MTA1
MTA2	SF1
DSCC1	MTBP
LRRC40	MTF2
MTF2	PTBP2
MTF2	RAD54L
MTF2	RBMXL1
MTF2	RPA2
C1orf27	MTFR1
CD46	MTFR1
ITCH	MTFR1
MTFR1	POLR2K
MTFR1	YWHAZ
GEMIN6	MTIF2
MTIF2	PNO1
ARPC4	MTMR14
DCAF7	MTMR4
HMBOX1	MTMR9
MTPAP	NSUN6
MTX2	PRKRA
MUC20	PLEKHG6
MRC2	MXRA7
MXRA7	RAB34
C8orf46	MYBL1
BUB1	MYBL2
MCM7	MYBL2
MYBL2	TOP2A
MYBL2	UBE2C
KLK10	MYH14
ESR1	MYH2
DCBLD2	MYLK
MYO1B	RND3
ACADVL	MYO1C
KCTD11	MYO1C
KCNH2	MYT1
LENG8	MZF1
MZF1	STRN4
MTMR6	N4BP2L2
N4BP2L2	PDS5B
NAA10	NSDHL
MAD2L1	NAA15
NAA15	NUP54
GTF3A	NAA16
LUC7L2	NAA38
NAA38	POT1
NAA50	PSMD12
NAA50	RAB1A
NACA	NAP1L1
DNAJA2	NAE1
NAE1	NUDT21
G6PC3	NAGLU
CEP152	NARG2
DLAT	NARS2
NARS2	RPS3
NCAPD2	POLQ
NCAPD2	RACGAP1
ACAD8	NCAPD3
NCAPD3	PPP2R1B
AURKA	NCAPH
BARD1	NCAPH
NCAPH	R3HDM1
NCAPH	RRM2
NCAPH	TPX2
GTPBP1	NCAPH2
MRPL3	NCBP2
NCBP2	PIK3CA
IGFBP6	NCEH1
ITGA3	NCEH1
LPP	NCEH1
NCK1	TBL1XR1
NCOR2	SMARCC2
KIR2DL1	NCR1
CENPA	NDC80
NDEL1	ZBTB4
GPX8	NDST1
KRIT1	NDUFA5
LUC7L2	NDUFA5
ENDOG	NDUFA8
HSP90AB1	NDUFAF4
LYRM2	NDUFAF4
MRPL47	NDUFB5
NDUFB5	TBL1XR1
NDUFB5	UGP2
FARSA	NDUFB7
C8orf33	NDUFB9
DSCC1	NDUFB9
NDUFB9	RNF139
NDUFS7	RNF126
NDUFS8	RAB1B
NDUFV1	WDR74
CENPE	NEIL3
NEIL3	SAP30
ANP32E	NEK2
CKS1B	NEK2
ARPC5	NEK7
IL4	NEUROG1
LILRB2	NEUROG1
NCR1	NEUROG1
NFATC2IP	PRR14
DNAJC10	NFE2L2
NFE2L2	PNO1
CWF19L2	NFRKB
C20orf24	NFS1
NFYB	SCYL2
NFYB	SENP1
NFYB	ZDHHC17
FANCM	NGDN
NGFRAP1	WBP5
NKIRAS2	TMUB2
NKRF	PHF6
GART	NLE1
KAT2A	NLE1
GNA13	NMD3
MRPL3	NMD3
MSH2	NMD3
NMD3	SENP2
NMD3	TBL1XR1
NMD3	TFG
NMD3	TOMM22
NMD3	UGP2
MRPL27	NME1
NME1	NME2
NME1	STRA13
NMT2	VIM
NNMT	PRSS23
MRPL37	NOC2L
BPTF	NOL11
COIL	NOL11
NME1	NOL11
L3MBTL2	NOL12
NOL12	TRMT2A
NOL6	SIGMAR1
NONO	PGK1
DDX54	NOP2
NOP2	RRS1
EIF5B	NOP58
NOTCH2	NOTCH2NL
CHEK1	NPAT
NPLOC4	SLC38A10
GRM8	NPVF
NRM	TUBB
HNRNPU	NSL1
NSL1	POU2F1
NSL1	ZNF678
NSMCE2	RNF139
CWF19L1	NSMCE4A
KIF11	NSMCE4A
CLPTM1L	NSUN2
MTRR	NSUN2
GPBP1L1	NSUN4
MLLT10	NSUN6
DNAJC8	NUDC
DSCC1	NUDCD1
DDX56	NUDCD3
KIAA0415	NUDCD3
CDCA8	NUDT1
NUMA1	SF1
E2F3	NUP153
NUP153	PAK1IP1
NUP155	RAD1
NUP188	PMPCA
H2AFV	NUP205
LUC7L2	NUP205
NUP205	ZNF212
NUP205	ZNF273
CDKN2AIP	NUP54
HNRNPD	NUP54
NUP54	PAICS
NUP54	POLR2B
NUP62	PRPF31
NUP62	RUVBL2
GSG2	NUP88
BLM	NUSAP1
NAA20	NXT1
OBFC2A	RND3
OCEL1	YIPF2
OCRL	TCEAL1
FBXL18	OGDH
OGDH	TBRG4
OGDH	ZMIZ2
ARHGAP11A	OIP5
CCNB2	OIP5
ORAOV1	PPFIA1
ORM1	ORM2
IL20RB	OSBPL11
OSBPL8	ZDHHC17
B3GNT2	OSGEPL1
MSH2	OSGEPL1
OSGEPL1	PNO1
OSGEPL1	PRKRA
IGFBP6	OSMR
IL1R1	OSMR
OTUD6B	POLR2K
OXA1L	RPL36AL
HACL1	OXNAD1
LSM3	OXNAD1
CAPN1	P2RY2
P2RY2	SSH3
PA2G4	TMPO
PAF1	SAE1
PAF1	SNRNP70
PAF1	SYMPK
PAFAH1B3	SAE1
ARSJ	PALLD
PAN2	ZBTB39
FAM48A	PAN3
MED4	PAN3
PANK4	UBE2J2
C14orf166	PAPOLA
EXOC5	PAPOLA
AURKAIP1	PARK7
PARL	POLR2H
HNRNPU	PARP1
PARP1	USP21
DLGAP5	PARP2
ILK	PARVA
PATZ1	SREBF2
GHRHR	PAX4
EZH2	PAXIP1
PAXIP1	RSBN1L
PCDHA10	PCDHA2
PCDHA10	PCDHA4
PCDHA10	PCDHAC1
PCDHA3	PCDHAC1
PCDHA3	PCDHAC2
PCDHA5	PCDHAC1
PCDHA6	PCDHA8
PCDHA6	PCDHA9
PCDHA9	PCDHAC1
PCDHA9	PCDHAC2
PCDHA1	PCDHAC1
PCDHA8	PCDHAC1
PCDHAC1	PCDHAC2
PCDHB10	PCDHB2
PCDHB13	PCDHB2
PCDHB2	PCDHB5
PCDHB2	PCDHB6
PCDHGA1	PCDHGB5
PCDHGA10	PCDHGB2
PCDHGA10	PCDHGB3
PCDHGA10	PCDHGB5
PCDHGA10	PCDHGC5
PCDHGA1	PCDHGA9
PCDHGA4	PCDHGB6
PCDHGA8	PCDHGB7
PCDHGB7	PCDHGC5
PCDHGA2	PCDHGC3
PCDHGA3	PCDHGC3
PCDHGA8	PCDHGC3
PCDHGB3	PCDHGC3
PCDHGC3	PCDHGC5
PCDHGA1	PCDHGC5
PCDHGA3	PCDHGC5
PCDHGB2	PCDHGC5
PCDHGB6	PCDHGC5
CUL4A	PCID2
PCMT1	RNF146
PAN2	PCMTD2
ITGAV	PCYOX1
MRPL3	PDCD10
PDCD10	TFG
PDCD10	UGP2
PDCD2L	PNPT1
CLK2	PDE7A
PDE7A	RBM12B
PDE8A	TSPAN3
PDP1	PLAT
DNASE1L2	PDPK1
E4F1	PDPK1
PDPK1	USP7
PDPK1	ZNF500
HNF4A	PDX1
DDR1	PERP
DSP	PERP
L3MBTL2	PES1
PES1	POLR1B
PES1	TRMT2A
PEX16	UBXN1
ARPC5	PEX2
HRSP12	PEX2
IMPA1	PEX2
MAPRE1	PEX2
PEX2	RNF139
PFDN5	RPLP0
ERBB2	PGAP3
PGAP3	WIPF2
GDE1	PGGT1B
GIN1	PGGT1B
PGGT1B	SNX2
PGLS	SIN3B
CDSN	PGLYRP4
PGM3	RARS2
E4F1	PGP
ITFG2	PHB2
GNB1	PHF13
PHF6	ZNF280C
BPTF	PHIP
HDAC2	PHIP
KPNA5	PHIP
OFD1	PHKA2
DCBLD2	PHLDB2
EFEMP1	PHLDB2
OSMR	PHLDB2
PHLDB2	PRNP
BAG3	PI4K2A
PIAS2	TXNL1
PIAS4	RNF126
PICALM	RDX
CCNB2	PIF1
PIGO	SIGMAR1
PIGQ	ZNF500
PIK3CA	RPS6KB1
PIK3CA	TBL1XR1
PIK3R4	TBL1XR1
PIK3R4	ZNF148
PIP5K1A	SENP2
PIP5K1A	SLC39A1
PITPNM1	PTPRCAP
E4F1	PKD1
PKD1	USP7
PKD2L2	SLC9A3
NFATC2IP	PKMYT1
PARD6B	PKP2
DHX35	PLAGL2
EAF2	PLAGL2
PLAUR	RRAS
EGFR	PLEC
LAMB3	PLEC
OSMR	PLEC
PLEC	S100A16
DDR1	PLEK2
PLEK2	TNFRSF21
ELF3	PLEKHA6
PLEKHA7	RASSF7
MAL2	PLEKHG6
PLEKHJ1	RNF126
PLEKHO1	SYT11
CTNNA1	PLK2
IL6ST	PLK2
CALU	PLOD3
DIRC2	PLXNA1
PMCH	TROAP
KRT80	PMEPA1
CYB5R3	PMM1
MRPS2	PMPCA
PMPCA	URM1
PNKP	STRN4
HNRNPC	PNN
ACP1	PNO1
PNO1	SSB
PGLS	PNPLA6
POC5	TAF9
ANGEL2	POGK
CNBP	POGK
POGK	USP21
ARNT	POGZ
POGZ	PYGO2
POGZ	ZNF678
LIG1	POLD1
POLD1	ZNF611
GTPBP1	POLDIP3
L3MBTL2	POLDIP3
L2HGDH	POLE2
POLE2	TOP2A
BPTF	POLG2
C2orf44	POLG2
COIL	POLG2
DCAF7	POLG2
POLG2	PTCD3
POLG2	RPL23
POLI	TXNL1
PJA2	POLK
COX4NB	POLR2C
CDC34	POLR2E
POLR2E	RNF126
POLR2E	SLC39A3
L3MBTL2	POLR2F
KRIT1	POLR2J4
ARPC5	POLR2K
HRSP12	POLR2K
NDUFB5	POLR2K
POLR2K	PRKDC
POLR2K	UQCRB
POLR3D	TRIM35
POLR3F	SEC23B
POLR3K	ZNF174
PON2	PTPN12
NDUFB2	POP7
FASTK	POR
POU2F1	USP21
POU2F1	ZNF678
GTPBP3	PPAN
AK3	PPAPDC2
PPCS	TNNI3K
PHLDA1	PPFIBP1
PPIB	TMED3
PPIC	SNX24
FAF1	PPIH
PI4KA	PPIL2
PPIP5K2	SNX2
KLHL28	PPM1A
BPTF	PPM1D
CCDC59	PPP1CC
NFYB	PPP1CC
C1orf55	PPP1R15B
MRPL3	PPP1R2
PPP1R2	RNF13
PPP1R2	SENP2
GRM8	PPP1R3A
DNAJC8	PPP1R8
HNRNPR	PPP1R8
NASP	PPP1R8
CANX	PPP2CA
CSNK1G3	PPP2CA
GIN1	PPP2CA
CNOT7	PPP2R2A
ELP3	PPP2R2A
AMOTL2	PPP2R3A
FEZ2	PPP2R3A
OSMR	PPP2R3A
ATXN3	PPP2R5C
PAPOLA	PPP2R5C
PPP2R5D	TUBB
LIG1	PPP5C
PPP5C	PRMT1
PPP5C	SAE1
GAPVD1	PPP6C
POLE3	PPP6C
CHD1	PPWD1
CWC27	PPWD1
NDUFS4	PPWD1
PPWD1	RIOK2
PPWD1	TAF9
BUD13	PRDM10
NFRKB	PRDM10
ARID1A	PRDM2
PDE4C	PRDX2
ERLIN1	PRDX3
